"sent_no","sent_raw","syuzhet","bing","afinn","nrc"
21,"There were rumours, then complaints, that the Arab could not be told apart from the Jew.",-1,-2,-2,0
22,"Random programming as well as life experience would grant to all complete latitude in sexual preference.",1.3,1,1,1
23,"By the end of the first week, all the Eves sold out.",0,0,0,0
24,"At a careless glance, I might have taken my Adam for a Turk or a Greek.",-0.5,-1,-2,0
25,"He weighed 170 pounds, so I had to ask my upstairs neighbour, Miranda, to help me carry him in from the street on the disposable stretcher that came with the purchase.",0.25,0,2,0
26,"While his batteries began to charge, I made us coffee, then scrolled through the 470-page online handbook.",0,0,0,0
27,"Its language was mostly clear and precise.",1,2,1,1
28,"But Adam was created across different agencies and in places the instructions had the charm of a nonsense poem.",0,0,1,0
29,"""Unreveal upside of B347k vest to gain carefree emoticon with motherboard output to attenuate mood-swing penumbra.""",1.25,2,3,1
30,"At last, with cardboard and polystyrene wrapping strewn around his ankles, he sat naked at my tiny dining table, eyes closed, a black power line trailing from the entry point in his umbilicus to a thirteen-amp socket in the wall.",-0.25,0,0,-1
31,"It would take sixteen hours to fire him up.",-0.25,0,-2,0
32,"Then sessions of download updates and personal preferences.",0,0,0,0
33,"I wanted him now, and so did Miranda.",0,0,0,0
34,"Like eager young parents, we were avid for his first words.",2.4,3,6,1
35,"There was no loudspeaker cheaply buried in his chest.",-1,-1,-1,-1
36,"We knew from the excited publicity that he formed sounds with breath, tongue, teeth and palate.",1.15,1,3,1
37,"Already his lifelike skin was warm to the touch and as smooth as a child's.",1.1,2,1,0
38,"Miranda claimed to see his eyelashes flicker.",0,-1,0,0
39,"I was certain she was seeing vibrations from the Tube trains rolling a hundred feet below us, but I said nothing.",0.8,0,1,0
40,"Adam was not a sex toy.",0.1,0,0,1
41,"However, he was capable of sex and possessed functional mucous membranes, in the maintenance of which he consumed half a litre of water each day.",2.77555756156289e-17,1,1,0
42,"While he sat at the table, I observed that he was uncircumcised, fairly well endowed, with copious dark pubic hair.",1.3,1,0,2
43,"This highly advanced model of artificial human was likely to reflect the appetites of its young creators of code.",1.55,1,1,3
44,"The Adams and Eves, it was thought, would be lively.",0.75,1,2,0
45,"He was advertised as a companion, an intellectual sparring partner, friend and factotum who could wash dishes, make beds and ""think.""",2.9,0,1,4
46,"Every moment of his existence, everything he heard and saw, he recorded and could retrieve.",0,0,0,1
47,"He could not drive as yet and was not allowed to swim or shower or go out in the rain without an umbrella, or operate a chainsaw unsupervised.",0,0,0,1
48,"As for range, thanks to breakthroughs in electrical storage, he could run seventeen kilometres in two hours without a charge or, its energy equivalent, converse non-stop for twelve days.",1.4,1,1,0
49,"He had a working life of twenty years.",0.25,0,0,1
50,"He was compactly built, square-shouldered, dark-skinned, with thick black hair swept back; narrow in the face, with a hint of hooked nose suggestive of fierce intelligence, pensively hooded eyes, tight lips that, even as we watched, were draining of their deathly yellowish-white tint and acquiring rich human colour, perhaps even relaxing a little at the corners.",1.45,0,2,0
51,"Miranda said he resembled ""a docker from the Bosphorus.""",0,0,0,0
52,"Before us sat the ultimate plaything, the dream of ages, the triumph of humanism--or its angel of death.",0.5,0,3,1
53,"Exciting beyond measure, but frustrating too.",0.25,0,1,1
54,"Sixteen hours was a long time to be waiting and watching.",0,0,0,0
55,"I thought that for the sum I would handed over after lunch, Adam should have been charged up and ready to go.",0.8,1,-3,0
56,"It was a wintry late afternoon.",-0.25,0,0,-1
57,"I made toast and we drank more coffee.",0,0,0,1
58,"Miranda, a doctoral scholar of social history, said she wished the teenage Mary Shelley was here beside us, observing closely, not a monster like Frankenstein's, but this handsome dark-skinned young man coming to life.",2,0,5,1
59,"I said that what both creatures shared was a hunger for the animating force of electricity.",-0.4,0,-1,0
60,"""We share it too.""",0.5,0,1,1
61,"She spoke as though she was referring only to herself and me, rather than all of electrochemically charged humanity.",0.25,0,-3,0
62,"She was twenty-two, mature for her years and ten years younger than me.",1,1,2,1
63,"From a long perspective, there was not much between us.",0,0,0,0
64,"We were gloriously young.",0.9,1,0,1
65,"But I considered myself at a different stage of life.",0,0,0,0
66,"My formal education was far behind me.",0,0,0,0
67,"I would suffer a series of professional and financial and personal failures.",-0.45,-2,-4,0
68,"I regarded myself as too hard-bitten, too cynical for a lovely young woman like Miranda.",1.15,0,2,2
69,"And though she was beautiful, with pale brown hair and a long thin face, and eyes that often appeared narrowed by suppressed mirth, and though in certain moods I looked at her in wonder, I would decide early on to confine her in the role of kind, neighbourly friend.",1.5,1,10,3
70,"We shared an entrance hall and her tiny apartment was right over mine.",1.6,1,1,0
71,"We saw each other for a coffee now and then to talk about relationships and politics and all the rest.",0.65,0,0,2
72,"With pitch-perfect neutrality she gave the impression of being at ease with the possibilities.",0.85,2,5,3
73,"To her, it seemed, an afternoon of intimate pleasure with me would have weighed equally with a chaste and companionable chat.",2.6,3,3,2
74,"She was relaxed in my company and I preferred to think that sex would ruin everything.",0.65,0,0,0
75,"We remained good chums.",0.75,1,3,1
76,"But there was something alluringly secretive or restrained about her.",0.3,0,0,-1
77,"Perhaps, without knowing it, I had been in love with her for months.",1.35,1,3,2
78,"Without knowing it?",0.6,0,0,1
79,"What a flimsy formulation that was!",-0.5,-1,0,0
80,"Reluctantly, we agreed to turn our backs on Adam and on each other for a while.",0,-1,2,1
81,"Miranda had a seminar to attend north of the river, I had emails to write.",0,0,0,0
82,"By the early seventies, digital communication had discarded its air of convenience and become a daily chore.",-0.6,0,-1,0
83,"Likewise the 250 mph trains--crowded and dirty.",-0.75,-2,-2,-1
84,"Speech-recognition software, a fifties miracle, had long turned to drudge, with entire populations sacrificing hours each day to lonely soliloquising.",0,0,4,1
85,"Brain--machine interfacing, wild fruit of sixties optimism, could barely arouse the interest of a child.",2.65,0,3,3
86,"What people queued the entire weekend for became, six months later, as interesting as the socks on their feet.",0.75,1,2,1
87,"What happened to the cognition-enhancing helmets, the speaking fridges with a sense of smell?",-0.25,-1,0,0
88,"Gone the way of the mouse pad, the Filofax, the electric carving knife, the fondue set.",-0.4,-1,0,2
89,"The future kept arriving.",0,0,0,0
90,"Our bright new toys began to rust before we could get them home, and life went on much as before.",1.05,0,1,-1
91,"Would Adam become a bore?",-0.75,-1,-2,-1
92,"It is not easy to dictate while trying to ward off a bout of buyer's remorse.",-0.8,0,-1,-2
93,"Surely other people, other minds, must continue to fascinate us.",0.9,1,3,1
94,"As artificial people became more like us, then became us, then became more than us, we could never tire of them.",0.5,1,2,0
95,"They were bound to surprise us.",0.35,0,0,0
96,"They might fail us in ways that were beyond our imagining.",-0.75,-1,-2,0
97,"Tragedy was a possibility, but not boredom.",-1.25,-2,-2,-2
98,"What was tedious was the prospect of the user's guide.",0.7,-1,1,1
99,"Instructions.",0,0,0,0
100,"My prejudice was that any machine that could not tell you by its very functioning how it should be used was not worth its keep.",0.25,0,2,0
101,"On an old-fashioned impulse, I was printing out the manual, then looking for a folder.",0,0,0,0
102,"All the while, I continued to dictate emails.",0,0,0,0
103,"I could not think of myself as Adam's ""user.""",0,0,0,0
104,"I would assume there was nothing to learn about him that he could not teach me himself.",1.2,0,0,2
105,"But the manual in my hands had fallen open at Chapter Fourteen.",-0.5,-1,-2,0
106,"Here the English was plain: preferences; personality parameters.",0,0,0,0
107,"Then a set of headings--Agreeableness.",0,1,0,0
108,"Extraversion.",0,0,0,0
109,"Openness to experience.",0.5,1,0,1
110,"Conscientiousness.",0,0,0,0
111,"Emotional stability.",0.5,1,0,0
112,"The list was familiar to me.",0.8,0,0,1
113,"The Five Factor model.",0.4,0,0,1
114,"Educated as I was in the humanities, I was suspicious of such reductive categories, though I knew from a friend in psychology that each item had many subgroups.",0.8,0,-1,1
115,"Glancing at the next page I saw that I was supposed to select various settings on a scale of one to ten.",0,0,0,0
116,"I had been expecting a friend.",0.8,0,1,1
117,"I was ready to treat Adam as a guest in my home, as an unknown I would come to know.",0.3,0,0,-1
118,"I would have thought he would arrive optimally adjusted.",0,0,0,0
119,"Factory settings--a contemporary synonym for fate.",0.15,0,0,-1
120,"My friends, family and acquaintances all had appeared in my life with fixed settings, with unalterable histories of genes and environment.",0,0,0,0
121,"I wanted my expensive new friend to do the same.",1.35,-1,1,1
122,"Why leave it to me?",-0.25,0,-1,-1
123,"But of course I knew the answer.",0,0,0,0
124,"Not many of us are optimally adjusted.",0,0,0,0
125,"Gentle Jesus?",1,1,1,0
126,"Humble Darwin?",0.6,1,1,0
127,"One every 1,800 years.",0,0,0,0
128,"Even if it knew the best, the least harmful parameters of personality, which it could not, a worldwide corporation with a precious reputation could not risk a mishap.",-1.25,0,-1,-1
129,"Caveat emptor.",0,0,0,0
130,"God had once delivered a fully formed companion for the benefit of the original Adam.",1.65,1,3,4
131,"I had to devise one for myself.",0,0,0,0
132,"Here was Extraversion and a graded set of childish statements.",-0.75,-1,-2,-1
133,"He loves to be the life and soul of the party and He knows how to entertain people and lead them.",1.75,3,3,2
134,"And at the bottom, He feels uncomfortable around other people and He prefers his own company.",-0.65,0,-2,-2
135,"Here in the middle was, He likes a good party but he is always happy to come home.",2,3,8,2
136,"This was me.",0,0,0,0
137,"But should I be replicating myself?",0,0,0,0
138,"If I was to choose from the middle of each scale I might devise the soul of blandness.",0,0,0,0
139,"Extraversion appeared to include its antonym.",0.6,0,0,1
140,"There was a long adjectival list with boxes to tick: outgoing, shy, excitable, talkative, withdrawn, boastful, modest, bold, energetic, moody.",-0.1,0,0,3
141,"I wanted none of them, not for him, not for myself.",0,0,0,0
142,"Apart from my moments of crazed decisions, I passed most of my life, especially when alone, in a state of mood neutrality, with my personality, whatever that was, in suspension.",-2.1,0,-2,-2
143,"Not bold, not withdrawn.",-0.55,0,2,1
144,"Simply here, neither content nor morose, but carrying out tasks, thinking about dinner or sex, staring at the screen, taking a shower.",1.05,0,0,2
145,"Intermittent regrets about the past, occasional forebodings about the future, barely aware of the present, except in the obvious sensory realm.",-0.75,-2,-2,2
146,"Psychology, once so interested in the trillion ways the mind goes awry, was now drawn to what it considered the common emotions, from grief to joy.",-0.5,0,3,0
147,"But it had overlooked a vast domain of everyday existence: absent illness, famine, war or other stresses, a lot of life is lived in the neutral zone, a familiar garden, but a grey one, unremarkable, immediately forgotten, hard to describe.",-2.95,-4,-10,-2
148,"At the time, I was not to know that these graded options would have little effect on Adam.",0,0,0,0
149,"The real determinant was what was known as ""machine learning.""",1.05,0,0,2
150,"The user's handbook merely granted an illusion of influence and control, the kind of illusion parents have in relation to their children's personalities.",0.85,-1,3,1
151,"It was a way of binding me to my purchase and providing legal protection for the manufacturer.",2.1,1,1,3
152,"""Take your time,"" the manual advised.",0,0,0,0
153,"""Choose carefully.",0.25,0,2,1
154,"Allow yourself several weeks, if necessary.""",0.25,0,1,0
155,"I let half an hour pass before I checked on him again.",0,0,0,0
156,"No change.",0,0,-1,0
157,"Still at the table, arms pushed out straight before him, eyes closed.",0.6,0,1,0
158,"But I thought his hair, deepest black, was bulked out a little and had acquired a certain shine, as though he would just had a shower.",1.85,1,1,0
159,"Stepping closer, I saw to my delight that though he was not breathing, there was, by his left breast, a regular pulse, steady and calm, about one a second by my inexperienced guess.",1.85,2,5,1
160,"How reassuring.",1,0,2,0
161,"He had no blood to pump around, but this simulation had an effect.",0,0,-1,0
162,"My doubts faded just a little.",-0.5,-1,-1,0
163,"I felt protective towards Adam, even as I knew how absurd it was.",-0.25,0,0,0
164,"I stretched out my hand and laid it over his heart and felt against my palm its calm, iambic tread.",0.75,1,2,1
165,"I sensed I was violating his private space.",-0.5,0,-2,0
166,"These vital signs were easy to believe in.",1.2,1,1,1
167,"The warmth of his skin, the firmness and yield of the muscle below it--my reason said plastic or some such, but my touch responded to flesh.",1.2,1,2,2
168,"It was eerie, to be standing by this naked man, struggling between what I knew and what I felt.",-1.5,-1,-4,1
169,"I walked behind him, partly to be out of range of eyes that could open at any moment and find me looming over him.",-0.6,0,-1,0
170,"He was muscular around his neck and spine.",0.6,0,0,1
171,"Dark hair grew along the line of his shoulders.",-0.6,-1,0,0
172,"His buttocks displayed muscular concavities.",0.6,0,0,1
173,"Below them, an athlete's knotted calves.",-0.25,-1,0,-1
174,"I had not wanted a superman.",0.8,0,0,1
175,"I regretted once more that I would been too late for an Eve.",-1.25,-1,-2,-2
176,"On my way out of the room I paused to look back and experienced one of those moments that can derange the emotional life: a startling realisation of the obvious, an absurd leap of understanding into what one already knows.",0.6,-2,3,2
177,"I stood with one hand resting on the doorknob.",0,0,0,0
178,"It must have been Adam's nakedness and physical presence that prompted the insight, but I was not looking at him.",0.4,0,0,1
179,"It was the butter dish.",0,0,0,0
180,"Also, two plates and cups, two knives and two spoons scattered across the table.",0,0,0,0
181,"The remains of my long afternoon with Miranda.",0,0,0,0
182,"Two wooden chairs were pushed back from the table, turned companionably towards each other.",0,0,0,0
183,"We had become closer this past month.",0,0,0,0
184,"We talked easily.",0,0,0,0
185,"I saw how precious she was to me and how carelessly I could lose her.",0.25,0,0,0
186,"I should have said something by now.",0,0,0,0
187,"I would taken her for granted.",0.5,0,1,1
188,"Some unfortunate event, some person, a fellow student, could get between us.",-0.35,-1,0,0
189,"Her face, her voice, her manner, both reticent and clear-headed, were sharply present.",-0.5,-1,1,0
190,"The feel of her hand in mine, that lost, preoccupied manner she had.",-0.75,-1,-3,-1
191,"Yes, we had become very close and I would have failed to notice it was happening.",0.3,-1,-1,0
192,"I was an idiot.",-1,-1,-3,-1
193,"I had to tell her.",0,0,0,0
194,"I went back into my office, which doubled as my bedroom.",0,0,0,0
195,"Between the desk and the bed there was enough space in which to walk up and down.",-0.25,1,0,0
196,"That she knew nothing about my feelings was now an anxious matter.",-0.75,-1,-1,-1
197,"Describing them would be embarrassing, perilous.",-1.25,-2,-2,-2
198,"She was a neighbour, a friend, a kind of sister.",1.3,0,3,2
199,"I would be addressing a person I did not yet know.",0,0,0,0
200,"She would be obliged to step out from behind a screen, or remove a mask and speak to me in terms I had never heard from her.",-0.25,0,0,-1
201,"I am so sorry...",-0.5,-1,-1,0
202,"I like you very much but, you see ... Or she would be horrified.",-0.25,0,-1,-1
203,"Or, just possibly, overjoyed to hear the one thing she had longed for, or to say to herself but dreaded rejection.",-0.5,0,0,0
204,"By chance, we were currently both free.",0.75,1,3,0
205,"She must have thought about it, about us.",0,0,0,0
206,"It was not an impossible fantasy.",0,-1,0,-1
207,"I would have to tell her face to face.",0,0,0,0
208,"Unbearable.",-0.75,-1,-2,-1
209,"Unavoidable.",-0.5,0,0,-1
210,"And so it went on, in tightening cycles.",0,0,0,0
211,"Restless, I went back next door.",-0.5,-1,-2,0
212,"I saw no change in Adam as I brushed past to get to the fridge, where there was a half-full bottle of white Bordeaux.",0.4,0,-1,2
213,"I sat facing him and raised my glass.",0,0,0,0
214,"To love.",0.75,1,3,1
215,"This time, I felt less tenderness.",0.8,-1,2,1
216,"I saw Adam for what it was, an inanimate confection whose heartbeat was a regular electrical discharge, whose skin warmth was mere chemistry.",0.25,1,2,-1
217,"When activated, some kind of microscopic balance-wheel device would prise open his eyes.",0.5,0,2,2
218,"He would seem to see me, but he would be blind.",-0.75,-1,-1,-1
219,"Not even blind.",-0.75,-1,-1,-1
220,"When it kicked in, another system would give a semblance of breath, but not of life.",-0.25,0,0,0
221,"A man newly in love knows what life is.",0.75,1,3,1
222,"With the inheritance, I could have bought a place somewhere north of the river, Notting Hill, or Chelsea.",0.6,0,0,1
223,"She might even have joined me.",0.6,0,0,1
224,"She would have had space for all the books that were boxed up in her father's garage in Salisbury.",0,0,0,0
225,"I saw a future without Adam, the future that was mine until yesterday: an urban garden, high ceilings with plaster mouldings, stainless-steel kitchen, old friends to dinner.",1.2,1,0,3
226,"Books everywhere.",0,0,0,0
227,"What to do?",0,0,0,0
228,"I could take him, or it, back, or sell it online and take a small loss.",-0.75,-1,-3,-2
229,"I gave it a hostile look.",-0.75,-1,-2,-1
230,"The hands were palms down on the table, the hawkish face remained angled towards the hands.",-0.25,-1,0,0
231,"My foolish infatuation with technology!",0.15,-1,0,0
232,"Another fondue set.",0,0,0,0
233,"Best to get away from the table before I impoverished myself with a single swipe of my father's old claw hammer.",-1.7,-1,3,-1
234,"I drank no more than half a glass, then I returned to the bedroom to distract myself with the Asian currency markets.",-0.65,-1,-3,-1
235,"All the while I listened out for footsteps in the flat above me.",0,0,0,0
236,"Late into the evening, I watched TV to catch up on the Task Force that would soon set off across 8,000 miles of ocean to recapture what we then called the Falkland Islands.",-1.1,0,0,-1
237,"At thirty-two, I was completely broke.",-0.35,-1,-1,0
238,"Wasting my mother's inheritance on a gimmick was only one part of my problem--but typical of it.",-0.8,-3,-4,-1
239,"Whenever money came my way, I caused it to disappear, made a magic bonfire of it, stuffed it into a top hat and pulled out a turkey.",0.25,2,1,2
240,"Often, though not in this recent case, my intention was to conjure a far larger sum with minimal effort.",0,0,0,0
241,"I was a mug for schemes, semilegal ruses, cunning shortcuts.",0,0,2,0
242,"I was for grand and brilliant gestures.",1.5,2,7,1
243,"Others made them and flourished.",0,0,0,0
244,"They borrowed money, put it to interesting use and remained enriched even as they settled their debts.",0.55,0,2,2
245,"Or they had jobs, professions, as I once had, and enriched themselves more modestly, at a steady rate.",0.6,1,0,0
246,"I meanwhile leveraged or, rather, shorted myself into genteel ruin, into two damp ground-floor rooms in the dull no-man's land of Edwardian terraced streets between Stockwell and Clapham, south London.",-0.5,-2,-5,0
247,"I grew up in a village near Stratford, Warwickshire, the only child of a musician father and community-nurse mother.",0.6,0,0,3
248,"Compared to Miranda's, my childhood was culturally undernourished.",0.6,0,0,1
249,"There was no time or space for books, or even music.",0.6,0,-1,1
250,"I took a precocious interest in electronics but ended up with an anthropology degree from an unregarded college in the south Midlands; I did a conversion course to law and, once qualified, specialised in tax.",1,1,1,2
251,"A week after my twenty-ninth birthday I was struck off, and came close to a short spell in prison.",-0.45,-2,-3,0
252,"My hundred hours of community service convinced me that I should never have a regular job again.",1.2,0,1,2
253,"I made some money out of a book I wrote at high speed on artificial intelligence: lost to a life-extension-pill scheme.",0.25,0,-3,1
254,"I made a reasonable sum on a property deal: lost to a car-rental scheme.",-0.1,0,-3,-1
255,"I was left some funds by a favourite uncle who had prosWhispered by way of a heat-pump patent: lost to a medical-insurance scheme.",-0.6,-1,-1,0
256,"At thirty-two, I was surviving by playing the stock and currency markets online.",0.6,0,2,0
257,"A scheme, just like the rest.",0.4,1,2,0
258,"For seven hours a day I bowed before my keyboard, buying, selling, hesitating, punching the air one moment, cursing the next, at least at the beginning.",-1.25,0,0,-1
259,"I read market reports, but I believed I was dealing in a random system and mostly relied on guesses.",0,0,0,0
260,"Sometimes I leaped ahead, sometimes I plunged, but on average through the year I made about as much as the postman.",0.8,0,0,1
261,"I paid my rent, which was low in those days, ate and dressed well enough and thought I was beginning to stabilise, learning to know myself.",1.35,2,0,1
262,"I was determined that my thirties would be a superior performance to my twenties.",1.65,1,4,2
263,"But my parents' pleasant family home was sold just as the first convincing artificial person came on the market.",1.8,2,3,1
265,"Robots, androids, replicates were my passion, even more so after my research for the book.",0.5,1,1,1
266,"Prices were bound to fall, but I had to have one straight away, an Eve by preference, but an Adam would do.",0.1,-1,1,-2
267,"It could have turned out differently.",0,0,0,0
268,"My previous girlfriend, Claire, was a sensible person who trained to be a dental nurse.",0.55,1,0,1
269,"She worked in a Harley Street practice and she would have talked me out of Adam.",0.65,1,0,1
270,"She was a woman of the world, of this one.",0,0,0,0
271,"She knew how to arrange a life.",0,0,0,0
272,"And not only her own.",0,0,0,0
273,"But I offended her with an act of undeniable disloyalty.",-1.75,-1,-2,-1
274,"She disowned me in a scene of regal fury, at the end of which she threw my clothes out into the street.",0.25,0,0,0
275,"Lime Grove.",0,0,0,0
276,"She never spoke to me again and belonged at the top of my list of errors and failures.",-1.25,-1,-2,0
277,"She could have saved me from myself.",0.8,0,2,0
278,"But In the interests of balance, let that unsaved self speak up.",1.1,1,1,1
279,"I did not buy Adam to make money.",0.6,0,0,1
280,"On the contrary.",-0.6,0,0,-1
281,"My motives were pure.",1,1,1,0
282,"I handed over a fortune in the name of curiosity, that steadfast engine of science, of intellectual life, of life itself.",2.55,2,4,4
283,"This was no passing fad.",-0.25,0,-3,0
284,"There was a history, an account, a time-deposit, and I had a right to draw on it.",0.8,1,0,0
285,"Electronics and anthropology--distant cousins whom late modernity has drawn together and bound in marriage.",0.35,0,0,-1
286,"The child of that coupling was Adam.",0.6,0,0,1
287,"So, I appear before you, witness for the defence, after school, 5 p.m., typical specimen for my time--short trousers, scabby knees, freckles, short back and sides, eleven years old.",0,0,0,0
288,"I'm first in line, waiting for the lab to open and for ""Wiring Club to begin.",0,0,0,0
289,"Presiding is Mr. Cox, a gentle giant with carroty hair who teaches physics.",1,1,0,1
290,"My project is to build a radio.",0.1,0,0,2
291,"It's an act of faith, an extended prayer that has taken many weeks.",0,1,1,1
292,"I have a base of hardboard, six inches by nine, easily drilled.",0,0,0,0
293,"Colours are everything.",0,0,0,0
294,"Blue, red, yellow and white wires run their modest courses around the board, turning at right angles, disappearing below to emerge elsewhere and be interrupted by bright nodules, tiny vividly striped cylinders-- capacitors, resistors--then an induction coil I have wound myself, then an op-amp.",1.2,2,1,0
295,"I understand nothing.",0,0,0,0
296,"I follow a wiring diagram as a novice might murmur scripture.",-0.5,0,0,0
297,"Mr. Cox gives softly spoken advice.",0,0,0,0
298,"I clumsily solder one piece, one wire or component, to another.",0,0,0,0
299,"The smoke and smell of solder is a drug I inhale deeply.",-0.6,-2,0,-1
300,"I include in my circuit a toggle switch made of Bakelite which, I have persuaded myself, came out of a fighter plane, a Spitfire surely.",0.6,0,0,1
301,"The final connection, three months after my beginning, is from this piece of dark brown plastic to a nine-volt battery.",-0.6,-1,0,-1
302,"It is a cold, windy dusk in March.",-0.5,-1,0,0
303,"Other boys are hunched over their projects.",0,0,0,0
304,"We are twelve miles away from Shakespeare's hometown, in what will come to be known as a ""bogstandard"" comprehensive school.",1.35,1,2,1
305,"An excellent place, in fact.",1,1,3,1
306,"The fluorescent ceiling lights come on.",0,0,0,0
307,"Mr. Cox is on the far side of the lab with his back turned.",0,0,0,0
308,"I do not want to attract his attention in case of failure.",0.3,-1,0,-1
309,"I throw the switch and--miracle-- hear the sound of static.",-0.25,0,4,1
310,"I jiggle the variable-tuning capacitor: music, terrible music, as I think, because violins are involved.",-0.15,-1,-3,0
311,"Then comes the rapid voice of a woman, not speaking English.",0,1,0,0
312,"No one looks up, no one is interested.",0.5,0,1,1
313,"Building a radio is nothing special.",0.9,0,0,3
314,"But I am speechless, close to tears.",-0.8,0,-2,0
315,"No technology since will amaze me as much.",0.6,1,1,1
316,"Electricity, passing through pieces of metal carefully arranged by me, snatches from the air the voice of a foreign lady sitting somewhere far away.",0,0,2,1
317,"Her voice sounds kindly.",0.5,1,0,0
318,"She is not aware of me.",0,0,0,0
319,"I will never learn her name or understand her language, and never meet her, not knowingly.",0.8,0,0,1
320,"My radio, with its irregular blobs of solder on a board, appears no less a wonder than consciousness itself arising from matter.",-0.35,0,0,1
321,"Brains and electronics were closely related, so I discovered through my teens as I built simple computers and programmed them myself.",0.85,0,0,1
322,"Then complicated computers.",-0.5,-1,0,-1
323,"Electricity and bits of metal could add up numbers, make words, pictures, songs, remember things and even turn speech into writing.",0.25,0,0,2
324,"When I was seventeen, Peter Cox persuaded me to study physics at a local college.",0.25,0,0,2
325,"Within a month I was bored and looking to change.",-0.5,-1,-2,0
326,"The subject was too abstract, the maths was beyond me.",0,0,0,-1
327,"And by then I would read a book or two and was taking an interest in imaginary people.",0.25,-1,1,1
328,"Heller's Catch-18, Fitzgerald's The High-Bouncing Lover, Orwell's The Last Man in Europe, lolstoy's All's Well That Ends Well--I did not get much further and yet I saw the point of art.",1.9,2,0,2
329,"It was a form of investigation.",0,0,0,0
330,"But I did not want to study literature--too intimidating, too intuitive.",0.25,0,-1,2
331,"A single-sheet course summary I picked up in the college library announced anthropology as ""the science of people in their societies through space and time.""",0.6,0,0,1
332,"Systematic study, with the human factor thrown in.",0.25,0,0,1
333,"I signed up.",0,0,0,0
334,"The first thing to learn: my course was pitifully underfunded.",-0.2,-1,0,1
335,"No bunking off for a year to the Trobriand Islands, where, I read, it was taboo to eat in front of others.",0.1,-1,-1,0
336,"It was good manners to eat alone, with your back turned to friends and family.",0.85,1,1,3
337,"The islanders had spells to make ugly people beautiful.",0,0,0,0
338,"Children were actively encouraged to be sexual with each other.",0.8,0,2,0
339,"Yams were the viable currency.",0.25,0,0,0
340,"Women determined the status of men.",0.5,0,2,2
341,"How strange and bracing.",-0.75,-1,-1,0
342,"My view of human nature had been shaped by the mostly white population crammed into the southern quarter of England.",0.4,0,0,2
343,"Now I was set free into bottomless relativism.",0.25,1,1,0
344,"At the age of nineteen I wrote a wise essay on honour cultures entitled ""Mind-forged Manacles?""",0.25,0,3,1
345,"Dispassionately, I gathered up my case studies.",0,0,0,-1
346,"What did I know or care?",1,0,2,0
347,"There were places where rape was so common it did not have a name.",-1,-1,-4,-1
348,"A young father's throat was cut for failing in his duties to an ancient feud.",-1.35,-1,-3,-2
349,"Here was a family eager to kill a daughter for being seen holding hands with a lad from the wrong religious group.",-0.15,-1,-3,0
350,"There, elderly women keenly assisted in the genital mutilation of their granddaughters.",0.4,1,0,-1
351,"What of the instinctive parental impulses to love and protect?",1.9,2,4,3
352,"The cultural signal was louder.",-0.25,-1,0,0
353,"What of universal values?",0.4,0,0,0
354,"Upended.",0,0,0,0
355,"Nothing like this in Stratford-upon-Avon.",0.5,1,2,0
356,"It was all about the mind, the tradition, the religion--nothing but software, I now thought, and best regarded in value-free terms.",0.5,2,4,0
