,model,type,sent_no,sent_raw,sentiment,sentiment100,token_len,sent_raw_abbr
137,baseline_flair,valley,454,Myrtle raised her eyebrows in despair at the shiftlessness of the lower orders.,0.036320057836620664,26,13,Myrtle raised her eyebrows in despair at the shiftlessness of the lower orders.
284,transformer_roberta15lg,valley,454,Myrtle raised her eyebrows in despair at the shiftlessness of the lower orders.,-0.5554639502758061,20,13,Myrtle raised her eyebrows in despair at the shiftlessness of the lower orders.
269,transformer_roberta15lg,peak,478,"""You' give McKee a letter of introduction to your husband, so he can do some studies of him.""",0.059481645360844215,26,18,"""You' give McKee a letter of introduction to your husband, so he can do some studies of him."""
107,baseline_textblob,valley,490,She lowered her voice again.,-0.0176834091859018,26,5,She lowered her voice again.
33,baseline_sentiword,peak,518,"""The only crazy I was was when I married him. I knew right away I made a mistake. He borrowed somebody's best suit to get married in and never even told me about it, and the man came after it one day when he was out. She looked around to see who was listening: "" 'Oh, is that your suit?'",0.16226987327741169,27,60,"""The only crazy I was was when I married him. I knew right away I made a mistake. He borrowed somebo"
93,baseline_textblob,peak,539,"""Daisy! Daisy! Daisy!"" shouted Mrs. Wilson.",0.0851893847297239,27,6,"""Daisy! Daisy! Daisy!"" shouted Mrs. Wilson."
64,baseline_vader,peak,550,"""Keep your hands off the lever,"" snapped the elevator boy.",0.07307148916066541,26,10,"""Keep your hands off the lever,"" snapped the elevator boy."
182,sentimentr_jockers,peak,550,"""Keep your hands off the lever,"" snapped the elevator boy.",0.6500281717119072,32,10,"""Keep your hands off the lever,"" snapped the elevator boy."
210,sentimentr_jockers,peak,550,"""Keep your hands off the lever,"" snapped the elevator boy.",0.6623093816985882,32,10,"""Keep your hands off the lever,"" snapped the elevator boy."
17,baseline_sentimentr,valley,551,"""I beg your pardon,"" said Mr. McKee with dignity, ""I didn't know I was touching it.""",0.06067090001897766,26,16,"""I beg your pardon,"" said Mr. McKee with dignity, ""I didn't know I was touching it."""
253,syuzhetr_syuzhet,valley,551,"""I beg your pardon,"" said Mr. McKee with dignity, ""I didn't know I was touching it.""",0.7487097448379958,33,16,"""I beg your pardon,"" said Mr. McKee with dignity, ""I didn't know I was touching it."""
2,baseline_sentimentr,peak,559,"On week-ends his Rolls-Royce became an omnibus, bearing parties to and from the city, between nine in the morning and long past midnight, while his station wagon scampered like a brisk yellow bug to meet all trains.",0.0735210150003041,26,37,"On week-ends his Rolls-Royce became an omnibus, bearing parties to and from the city, between nine i"
238,syuzhetr_syuzhet,peak,559,"On week-ends his Rolls-Royce became an omnibus, bearing parties to and from the city, between nine in the morning and long past midnight, while his station wagon scampered like a brisk yellow bug to meet all trains.",0.9366251562502359,35,37,"On week-ends his Rolls-Royce became an omnibus, bearing parties to and from the city, between nine i"
313,transformer_huggingface,valley,575,I believe that on the first night I went to Gatsby's house I was one of the few guests who had actually been invited.,0.5492629856052486,31,24,I believe that on the first night I went to Gatsby's house I was one of the few guests who had actua
166,baseline_stanza,valley,583,Dressed up in white flannels I went over to his lawn a little after seven and wandered around rather ill-at-ease among swirls and eddies of people I didn't know though here and there was a face I had noticed on the commuting train.,0.1084757543513298,27,43,Dressed up in white flannels I went over to his lawn a little after seven and wandered around rather
49,baseline_sentiword,valley,584,"I was immediately struck by the number of young Englishmen dotted about; all well dressed, all looking a little hungry and all talking in low earnest voices to solid and prosperous Americans.",0.0856021396667144,27,32,"I was immediately struck by the number of young Englishmen dotted about; all well dressed, all looki"
285,transformer_roberta15lg,valley,608,"""I like to come,"" Lucille said.",0.8449682274873352,34,6,"""I like to come,"" Lucille said."
196,sentimentr_jockers,valley,609,"""I never care what I do, so I always have a good time. When I was here last I tore my gown on a chair, and he asked me my name and address inside of a week I got a package from Croirier's with a new evening gown in it.""",1.0060848418295327,36,50,"""I never care what I do, so I always have a good time. When I was here last I tore my gown on a chai"
224,sentimentr_jockers,valley,609,"""I never care what I do, so I always have a good time. When I was here last I tore my gown on a chair, and he asked me my name and address inside of a week I got a package from Croirier's with a new evening gown in it.""",1.1486051410137121,37,50,"""I never care what I do, so I always have a good time. When I was here last I tore my gown on a chai"
78,baseline_vader,valley,617,The two girls and Jordan leaned together confidentially.,0.06463854394193433,26,8,The two girls and Jordan leaned together confidentially.
122,baseline_flair,peak,642,As we entered he wheeled excitedly around and examined Jordan from head to foot.,0.16625934217283714,27,14,As we entered he wheeled excitedly around and examined Jordan from head to foot.
270,transformer_roberta15lg,peak,642,As we entered he wheeled excitedly around and examined Jordan from head to foot.,1.2976608415348978,39,14,As we entered he wheeled excitedly around and examined Jordan from head to foot.
152,baseline_stanza,peak,647,"""The books?""",0.1710406045830167,27,2,"""The books?"""
299,transformer_huggingface,peak,653,He snatched the book from me and replaced it hastily on its shelf muttering that if one brick was removed the whole library was liable to collapse.,1.4253406412838463,40,27,He snatched the book from me and replaced it hastily on its shelf muttering that if one brick was re
34,baseline_sentiword,peak,665,"A celebrated tenor had sung in Italian and a notorious contralto had sung in jazz and between the numbers people were doing ""stunts"" all over the garden, while happy vacuous bursts of laughter rose toward the summer sky.",0.04666214518555771,26,38,A celebrated tenor had sung in Italian and a notorious contralto had sung in jazz and between the nu
94,baseline_textblob,peak,698,"Precisely at that point it vanished and I was looking at an elegant young rough-neck, a year or two over thirty, whose elaborate formality of speech just missed being absurd.",0.1253240062834767,27,30,"Precisely at that point it vanished and I was looking at an elegant young rough-neck, a year or two "
65,baseline_vader,peak,698,"Precisely at that point it vanished and I was looking at an elegant young rough-neck, a year or two over thirty, whose elaborate formality of speech just missed being absurd.",0.15632798283545057,27,30,"Precisely at that point it vanished and I was looking at an elegant young rough-neck, a year or two "
183,sentimentr_jockers,peak,698,"Precisely at that point it vanished and I was looking at an elegant young rough-neck, a year or two over thirty, whose elaborate formality of speech just missed being absurd.",1.9258330887096475,45,30,"Precisely at that point it vanished and I was looking at an elegant young rough-neck, a year or two "
211,sentimentr_jockers,peak,699,Some time before he introduced himself I'd got a strong impression that he was picking his words with care.,2.293100707553748,49,19,Some time before he introduced himself I'd got a strong impression that he was picking his words wit
3,baseline_sentimentr,peak,707,I demanded.,0.1842155769108731,28,2,I demanded.
239,syuzhetr_syuzhet,peak,707,I demanded.,2.072469420786441,46,2,I demanded.
50,baseline_sentiword,valley,732,"When the ""Jazz History of the World"" was over girls were putting their heads on men's shoulders in a puppyish, convivial way, girls were swooning backward playfully into men's arms, even into groups knowing that some one would arrest their falls but no one swooned backward on Gatsby and no French bob touched Gatsby's shoulder and no singing quartets were formed with Gatsby's head for one link.",6.672079895181464e-05,26,67,"When the ""Jazz History of the World"" was over girls were putting their heads on men's shoulders in a"
138,baseline_flair,valley,734,Gatsby's butler was suddenly standing beside us.,0.041507050013000445,26,7,Gatsby's butler was suddenly standing beside us.
18,baseline_sentimentr,valley,734,Gatsby's butler was suddenly standing beside us.,0.09040973754719014,27,7,Gatsby's butler was suddenly standing beside us.
254,syuzhetr_syuzhet,valley,734,Gatsby's butler was suddenly standing beside us.,0.9783841365640666,35,7,Gatsby's butler was suddenly standing beside us.
108,baseline_textblob,valley,735,"""Miss Baker?"" he inquired.",0.05614149037595269,26,4,"""Miss Baker?"" he inquired."
167,baseline_stanza,valley,738,"""Yes, madame.""",-0.02698912705606287,25,2,"""Yes, madame."""
286,transformer_roberta15lg,valley,759,"""Never heard anything so selfish in my life.""",0.49687225430444676,31,8,"""Never heard anything so selfish in my life."""
314,transformer_huggingface,valley,761,"""So are we.""",-0.015686905970444392,26,3,"""So are we."""
271,transformer_roberta15lg,peak,814,Blinded by the glare of the headlights and confused by the incessant groaning of the horns the apparition stood swaying for a moment before he perceived the man in the duster.,1.167073580358884,37,31,Blinded by the glare of the headlights and confused by the incessant groaning of the horns the appar
123,baseline_flair,peak,825,"At least a dozen men, some of them little better off than he was, explained to him that wheel and car were no longer joined by any physical bond.",0.09149005196343696,27,29,"At least a dozen men, some of them little better off than he was, explained to him that wheel and ca"
79,baseline_vader,valley,835,Reading over what I have written so far I see I have given the impression that the events of three nights several weeks apart were all that absorbed me.,0.06026569634303463,26,29,Reading over what I have written so far I see I have given the impression that the events of three n
197,sentimentr_jockers,valley,849,"Forms leaned together in the taxis as they waited, and voices sang, and there was laughter from unheard jokes, and lighted cigarettes outlined unintelligible gestures inside.",0.20796624790477278,28,26,"Forms leaned together in the taxis as they waited, and voices sang, and there was laughter from unhe"
225,sentimentr_jockers,valley,849,"Forms leaned together in the taxis as they waited, and voices sang, and there was laughter from unheard jokes, and lighted cigarettes outlined unintelligible gestures inside.",0.5188874493163541,31,26,"Forms leaned together in the taxis as they waited, and voices sang, and there was laughter from unhe"
153,baseline_stanza,peak,864,It made no difference to me.,0.1286218438735395,27,6,It made no difference to me.
300,transformer_huggingface,peak,869,"""Either you ought to be more careful or you oughtn't to drive at all.""",0.6603705799326435,32,14,"""Either you ought to be more careful or you oughtn't to drive at all."""
95,baseline_textblob,peak,873,"""What's that got to do with it?""",0.10611690318632369,27,7,"""What's that got to do with it?"""
51,baseline_sentiword,valley,892,"And the Ismays and the Chrysties (or rather Hubert Auerbach and Mr. Chrystie's wife) and Edgar Beaver, whose hair they say turned cotton-white one winter afternoon for no good reason at all.",0.03757962248212684,26,32,And the Ismays and the Chrysties (or rather Hubert Auerbach and Mr. Chrystie's wife) and Edgar Beave
139,baseline_flair,valley,893,"Clarence Endive was from East Egg, as I remember.",0.058344864507716754,26,9,"Clarence Endive was from East Egg, as I remember."
19,baseline_sentimentr,valley,893,"Clarence Endive was from East Egg, as I remember.",0.015695497584335014,26,9,"Clarence Endive was from East Egg, as I remember."
255,syuzhetr_syuzhet,valley,893,"Clarence Endive was from East Egg, as I remember.",0.12858888717760425,27,9,"Clarence Endive was from East Egg, as I remember."
35,baseline_sentiword,peak,905,They were never quite the same ones in physical person but they were so identical one with another that it inevitably seemed they had been there before.,0.09236117221794962,27,27,They were never quite the same ones in physical person but they were so identical one with another t
4,baseline_sentimentr,peak,919,I'd seen it.,0.09389762589926443,27,3,I'd seen it.
240,syuzhetr_syuzhet,peak,919,I'd seen it.,0.9762961875483748,35,3,I'd seen it.
212,sentimentr_jockers,peak,929,"A little overwhelmed, I began the generalized evasions which that question deserves.",1.051310917516875,36,12,"A little overwhelmed, I began the generalized evasions which that question deserves."
109,baseline_textblob,valley,938,And with this doubt his whole statement fell to pieces and I wondered if there wasn't something a little sinister about him after all.,0.013238348415681401,26,24,And with this doubt his whole statement fell to pieces and I wondered if there wasn't something a li
315,transformer_huggingface,valley,945,For a moment I suspected that he was pulling my leg but a glance at him convinced me otherwise.,0.15353273696778202,27,19,For a moment I suspected that he was pulling my leg but a glance at him convinced me otherwise.
287,transformer_roberta15lg,valley,945,For a moment I suspected that he was pulling my leg but a glance at him convinced me otherwise.,0.3292536786040609,29,19,For a moment I suspected that he was pulling my leg but a glance at him convinced me otherwise.
184,sentimentr_jockers,peak,976,He wouldn't say another word.,1.4552968316075938,40,5,He wouldn't say another word.
66,baseline_vader,peak,979,"Then the valley of ashes opened out on both sides of us, and I had a glimpse of Mrs. Wilson straining at the garage pump with panting vitality as we went by.",0.1607837280191635,27,32,"Then the valley of ashes opened out on both sides of us, and I had a glimpse of Mrs. Wilson strainin"
168,baseline_stanza,valley,1000,"Blinking away the brightness of the street outside my eyes picked him out obscurely in the anteroom, talking to another man.",0.0352178051770055,26,21,"Blinking away the brightness of the street outside my eyes picked him out obscurely in the anteroom,"
198,sentimentr_jockers,valley,1002,"A small, flat-nosed Jew raised his large head and regarded me with two fine growths of hair which luxuriated in either nostril.",1.0302699260867312,36,22,"A small, flat-nosed Jew raised his large head and regarded me with two fine growths of hair which lu"
226,sentimentr_jockers,valley,1002,"A small, flat-nosed Jew raised his large head and regarded me with two fine growths of hair which luxuriated in either nostril.",0.9683451692535531,35,22,"A small, flat-nosed Jew raised his large head and regarded me with two fine growths of hair which lu"
154,baseline_stanza,peak,1026,"""It was four o'clock in the morning then, and if we'd of raised the blinds we'd of seen daylight.""",0.08551682034641932,27,19,"""It was four o'clock in the morning then, and if we'd of raised the blinds we'd of seen daylight."""
96,baseline_textblob,peak,1030,"""Four of them were electrocuted,"" I said, remembering.",0.08186102439827309,27,8,"""Four of them were electrocuted,"" I said, remembering."
272,transformer_roberta15lg,peak,1039,"""I beg your pardon,"" said Mr. Wolfshiem, ""I had a wrong man.""",1.2511327065988307,38,12,"""I beg your pardon,"" said Mr. Wolfshiem, ""I had a wrong man."""
20,baseline_sentimentr,valley,1041,"His eyes, meanwhile, roved very slowly all around the room he completed the arc by turning to inspect the people directly behind.",0.09610050275320614,27,22,"His eyes, meanwhile, roved very slowly all around the room he completed the arc by turning to inspec"
256,syuzhetr_syuzhet,valley,1041,"His eyes, meanwhile, roved very slowly all around the room he completed the arc by turning to inspect the people directly behind.",1.0806936383329533,37,22,"His eyes, meanwhile, roved very slowly all around the room he completed the arc by turning to inspec"
124,baseline_flair,peak,1045,"""I don't like mysteries,"" I answered.",0.14903777249032338,27,6,"""I don't like mysteries,"" I answered."
301,transformer_huggingface,peak,1055,"""I've heard of it.""",1.407624509826703,40,4,"""I've heard of it."""
36,baseline_sentiword,peak,1056,"""It's one of the most famous colleges in the world.""",0.16815216070542421,27,10,"""It's one of the most famous colleges in the world."""
80,baseline_vader,valley,1069,"""Yeah.""",0.11031793922807057,27,1,"""Yeah."""
213,sentimentr_jockers,peak,1080,I wondered if I had said anything to offend him.,1.7336375117914677,43,10,I wondered if I had said anything to offend him.
241,syuzhetr_syuzhet,peak,1080,I wondered if I had said anything to offend him.,1.408501633796527,40,10,I wondered if I had said anything to offend him.
5,baseline_sentimentr,peak,1096,I insisted on paying the check.,0.1271243517795515,27,6,I insisted on paying the check.
185,sentimentr_jockers,peak,1127,She went with a slightly older crowd when she went with anyone at all.,1.8204619333218572,44,14,She went with a slightly older crowd when she went with anyone at all.
67,baseline_vader,peak,1132,"She had a debut after the Armistice, and in February she was presumably engaged to a man from New Orleans.",0.09276154958983415,27,20,"She had a debut after the Armistice, and in February she was presumably engaged to a man from New Or"
169,baseline_stanza,valley,1161,"Daisy was popular in Chicago, as you know.",-0.12977019388409908,24,8,"Daisy was popular in Chicago, as you know."
199,sentimentr_jockers,valley,1172,When Jordan Baker had finished telling all this we had left the Plaza for half an hour and were driving in a Victoria through Central Park.,0.9147719315574745,35,26,When Jordan Baker had finished telling all this we had left the Plaza for half an hour and were driv
316,transformer_huggingface,valley,1172,When Jordan Baker had finished telling all this we had left the Plaza for half an hour and were driving in a Victoria through Central Park.,-0.2051307670555147,24,26,When Jordan Baker had finished telling all this we had left the Plaza for half an hour and were driv
52,baseline_sentiword,valley,1181,"He came alive to me, delivered suddenly from the womb of his purposeless splendor.",0.05386438524973107,26,14,"He came alive to me, delivered suddenly from the womb of his purposeless splendor."
140,baseline_flair,valley,1183,The modesty of the demand shook me.,-0.04561537895881377,25,7,The modesty of the demand shook me.
21,baseline_sentimentr,valley,1190,"""And your house is right next door.""",0.023221993501969154,26,7,"""And your house is right next door."""
97,baseline_textblob,peak,1191,"""I think he half expected her to wander into one of his parties, some night,"" went on Jordan, ""but she never did.",-0.012666306127544177,26,22,"""I think he half expected her to wander into one of his parties, some night,"" went on Jordan, ""but s"
227,sentimentr_jockers,valley,1192,"Then he began asking people casually if they knew her, and I was the first one he found.",0.5366502953709812,31,18,"Then he began asking people casually if they knew her, and I was the first one he found."
125,baseline_flair,peak,1193,"It was that night he sent for me at his dance, and you should have heard the elaborate way he worked up to it.",-0.01622439886634483,26,24,"It was that night he sent for me at his dance, and you should have heard the elaborate way he worked"
273,transformer_roberta15lg,peak,1194,"Of course, I immediately suggested a luncheon in New York and I thought he'd go mad:",-0.23993822888616212,23,16,"Of course, I immediately suggested a luncheon in New York and I thought he'd go mad:"
288,transformer_roberta15lg,valley,1219,"""Well, suppose we take a plunge in the swimming pool? I haven't made use of it all summer.""",-0.923831488346167,16,18,"""Well, suppose we take a plunge in the swimming pool? I haven't made use of it all summer."""
110,baseline_textblob,valley,1224,"""I' going to call up Daisy tomorrow and invite her over here to tea.""",-0.05451611005691849,25,14,"""I' going to call up Daisy tomorrow and invite her over here to tea."""
81,baseline_vader,valley,1224,"""I' going to call up Daisy tomorrow and invite her over here to tea.""",-0.04385555421844347,25,14,"""I' going to call up Daisy tomorrow and invite her over here to tea."""
257,syuzhetr_syuzhet,valley,1224,"""I' going to call up Daisy tomorrow and invite her over here to tea.""",-0.8360435580718947,17,14,"""I' going to call up Daisy tomorrow and invite her over here to tea."""
302,transformer_huggingface,peak,1237,"""Would you rather put it off for a few days?""",-0.7167930551681262,19,10,"""Would you rather put it off for a few days?"""
214,sentimentr_jockers,peak,1239,"""Oh, it isn't about that. At least """,-0.06632719014245003,25,8,"""Oh, it isn't about that. At least """
155,baseline_stanza,peak,1246,"""Well, this would interest you. It wouldn't take up much of your time and you might pick up a nice bit of money. It happens to be a rather confidential sort of thing.""",-0.0749912197472542,25,33,"""Well, this would interest you. It wouldn't take up much of your time and you might pick up a nice b"
37,baseline_sentiword,peak,1272,"""Looks very good,"" he remarked vaguely.",0.034636305989496845,26,6,"""Looks very good,"" he remarked vaguely."
6,baseline_sentimentr,peak,1301,"""Does the gasoline affect his nose?""",-0.027260601067527576,25,6,"""Does the gasoline affect his nose?"""
68,baseline_vader,peak,1301,"""Does the gasoline affect his nose?""",0.02950127219722127,26,6,"""Does the gasoline affect his nose?"""
186,sentimentr_jockers,peak,1301,"""Does the gasoline affect his nose?""",-0.050467412126979104,25,6,"""Does the gasoline affect his nose?"""
242,syuzhetr_syuzhet,peak,1301,"""Does the gasoline affect his nose?""",-0.24724193564687616,23,6,"""Does the gasoline affect his nose?"""
170,baseline_stanza,valley,1322,"""We've met before,"" muttered Gatsby.",-0.09767112294784652,25,5,"""We've met before,"" muttered Gatsby."
317,transformer_huggingface,valley,1322,"""We've met before,"" muttered Gatsby.",-1.3387701467538058,12,5,"""We've met before,"" muttered Gatsby."
200,sentimentr_jockers,valley,1325,"Then he sat down, rigidly, his elbow on the arm of the sofa and his chin in his hand.",-0.5963174664026244,20,19,"Then he sat down, rigidly, his elbow on the arm of the sofa and his chin in his hand."
141,baseline_flair,valley,1330,I think we all believed for a moment that it had smashed in pieces on the floor.,-0.09955854182888718,25,17,I think we all believed for a moment that it had smashed in pieces on the floor.
53,baseline_sentiword,valley,1333,The automatic quality of Gatsby's answer set us all back at least another minute.,-0.09560484252877029,25,14,The automatic quality of Gatsby's answer set us all back at least another minute.
98,baseline_textblob,peak,1340,"""I've got to speak to you about something before you go.""",0.057357877078828536,26,11,"""I've got to speak to you about something before you go."""
22,baseline_sentimentr,valley,1341,"He followed me wildly into the kitchen, closed the door and whispered: ""Oh, God!"" in a miserable way.",-0.07994607249096594,25,18,"He followed me wildly into the kitchen, closed the door and whispered: ""Oh, God!"" in a miserable way"
228,sentimentr_jockers,valley,1341,"He followed me wildly into the kitchen, closed the door and whispered: ""Oh, God!"" in a miserable way.",-0.5761155964269404,20,18,"He followed me wildly into the kitchen, closed the door and whispered: ""Oh, God!"" in a miserable way"
126,baseline_flair,peak,1343,"""This is a terrible mistake,"" he said, shaking his head from side to side, ""a terrible, terrible mistake.""",-0.08603265313928476,25,18,"""This is a terrible mistake,"" he said, shaking his head from side to side, ""a terrible, terrible mis"
274,transformer_roberta15lg,peak,1356,His children sold his house with the black wreath still on the door.,-0.40569151895473754,22,13,His children sold his house with the black wreath still on the door.
111,baseline_textblob,valley,1372,"When he realized what I was talking about, that there were twinkle-bells of sunshine in the room, he smiled like a weather man, like an ecstatic patron of recurrent light, and repeated the news to Daisy.",0.06468989289993671,26,36,"When he realized what I was talking about, that there were twinkle-bells of sunshine in the room, he"
82,baseline_vader,valley,1372,"When he realized what I was talking about, that there were twinkle-bells of sunshine in the room, he smiled like a weather man, like an ecstatic patron of recurrent light, and repeated the news to Daisy.",0.01771380084758067,26,36,"When he realized what I was talking about, that there were twinkle-bells of sunshine in the room, he"
258,syuzhetr_syuzhet,valley,1372,"When he realized what I was talking about, that there were twinkle-bells of sunshine in the room, he smiled like a weather man, like an ecstatic patron of recurrent light, and repeated the news to Daisy.",-0.40175016280805126,22,36,"When he realized what I was talking about, that there were twinkle-bells of sunshine in the room, he"
