,sent_no,sent_raw,syuzhet,bing,afinn,nrc,char_len,token_len,sent_clean,syuzhet_stdscaler,syuzhet_medianiqr,syuzhet_lnorm_stdscaler,syuzhet_lnorm_medianiqr,bing_stdscaler,bing_medianiqr,bing_lnorm_stdscaler,bing_lnorm_medianiqr,afinn_stdscaler,afinn_medianiqr,afinn_lnorm_stdscaler,afinn_lnorm_medianiqr,nrc_stdscaler,nrc_medianiqr,nrc_lnorm_stdscaler,nrc_lnorm_medianiqr,syuzhet_roll10,bing_roll10,afinn_roll10,nrc_roll10,mean_roll10,syuzhet_roll10_stdscale,bing_roll10_stdscale,afinn_roll10_stdscale,nrc_roll10_stdscale
10,11,"10,""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week.""",2.65,2,8,4,400,79,my dear you must know mrs long says that netherfield is taken by a young man of large fortune from the north of england that he came down on monday in a chaise and four to see the place and was so much delighted with it that he agreed with mr morris immediately that he is to take possession before michaelmas and some of his servants are to be in the house by the end of next week,1.7982948120222266,2.4,0.1340161802942965,0.3593339045956464,1.3001702680150182,2.0,0.1403389135895159,0.5318314137450956,2.534125663359183,4.0,0.2923036726772907,0.9287990965693763,2.2380181548652898,4.0,0.21205658797900728,0.7090241741551703,,,,,,,,,
11,12,"11,What is his name?",0.0,0,0,0,20,4,is his name,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
12,13,"12,Bingley.",0.0,0,0,0,11,1,,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
13,14,"13,Is he married or single?",0.0,0,0,0,27,5,he married or single,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
14,15,"14,""Oh! single, my dear, to be sure!""",0.5,0,2,1,37,7,single my dear to be sure,0.021893565243174193,0.25,0.592051853626463,1.014553859959826,-0.17447413877675547,0.0,-0.12345552172010059,0.0,0.4240854820377771,1.0,1.1553839919414421,2.6171332603404576,0.2438417481427797,1.0,1.1615059550024067,1.9978601997146936,,,,,,,,,
15,16,"15,A single man of large fortune; four or five thousand a year.",0.5,1,2,1,63,12,single man of large fortune four or five thousand a year,0.021893565243174193,0.25,0.23210343969678612,0.49964771303756317,0.5628480646191314,1.0,0.7442546503786838,1.749375520399667,0.4240854820377771,1.0,0.5983962483792007,1.52756903871662,0.2438417481427797,1.0,0.5487800605968488,1.166111573688593,,,,,,,,,
16,17,"16,What a fine thing for our girls!",0.25,1,2,0,35,7,a fine thing for our girls,-0.18466471926601796,0.0,0.15975380849692108,0.39615157750618835,0.5628480646191314,1.0,1.3631634749855197,2.9971469329529246,0.4240854820377771,1.0,1.1553839919414421,2.6171332603404576,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
17,18,"17,How so?",0.0,0,0,0,10,2,so,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
18,19,"18,how can it affect them?",0.0,0,0,0,26,5,can it affect them,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
19,20,"19,""My dear Mr. Bennet, replied his wife, how can you be so tiresome!""",0.0,-1,2,0,70,13,dear mr bennet replied his wife how can you be so tiresome,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.9117963421726424,-1.0,-0.9244700618358882,-1.6149116064565718,0.4240854820377771,1.0,0.5383734338923243,1.4101540472703002,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
20,21,"20,You must know that I am thinking of his marrying one of them.",0.6,0,0,0,64,13,must know that i am thinking of his marrying one of them,0.10451687904685103,0.35,0.2864859179607237,0.5774418392493224,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
21,22,"21,Is that his design in settling here?",0.0,0,0,0,39,7,that his design in settling here,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
22,23,"22,""Design! nonsense, how can you talk so!""",-0.35,-1,-2,0,43,7,nonsense how can you talk so,-0.6804046020880791,-0.6,-0.8777614998139794,-1.0880139003825424,-0.9117963421726424,-1.0,-1.610074518425721,-2.9971469329529246,-0.9826079721764936,-1.0,-1.5203851281315655,-2.6171332603404576,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
23,24,"23,""But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes.""",0.9,0,3,1,125,26,it is very likely that he may fall in love with one of them and therefore you must visit him as soon as he comes,0.35238682045788167,0.65,0.1468895760120973,0.37774929505255056,-0.17447413877675547,0.0,-0.12345552172010059,0.0,0.7757588455913448,1.5,0.3583627978712526,1.058022154266817,0.2438417481427797,1.0,0.08639698272709524,0.5384467512495195,,,,,,,,,
24,25,"24,I see no occasion for that.",0.0,0,-1,0,30,6,see no occasion for that,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.6309346086229259,-0.5,-0.9627477199965502,-1.5262981826111988,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
25,26,"25,""You and the girls may go, or you may send them by themselves, which perhaps will be still better, for as you are as handsome as any of them, Mr. Bingley might like you the best of the party.""",2.8,4,10,0,195,39,and the girls may go or you may send them by themselves which perhaps will be still better for as you are as handsome as any of them mr bingley might like you the best of the party,1.9222297827277417,2.55,0.5975040617321726,1.0223532427582673,2.7748146748067923,4.0,0.9451114269501275,2.1543194052806975,3.2374723904663187,5.0,1.019572075567575,2.351461696358191,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
26,27,"26,""My dear, you flatter me. I certainly _have_ had my share of beauty, but I do not pretend to be anything extraordinary now.""",1.75,2,5,3,127,23,dear you flatter me i certainly have had my share of beauty but i do not pretend to be anything extraordinary now,1.0546849877891349,1.5,0.649353419799653,1.0965237409456408,1.3001702680150182,2.0,0.7823418852252623,1.8261625380269448,1.47910557269848,2.5,0.8364662686993637,1.993275114622621,1.5732926859577865,3.0,1.0348610247652463,1.8259452411994788,,,,,,,,,
27,28,"27,""When a woman has five grown-up daughters, she ought to give over thinking of her own beauty.""",0.5,1,3,1,97,17,a woman has five grown up daughters she ought to give over thinking of her own beauty,0.021893565243174193,0.25,0.08376491049942954,0.2874494714193936,0.5628480646191314,1.0,0.4891958108434736,1.2351557907113462,0.7757588455913448,1.5,0.6445338909751227,1.6178222358894714,0.2438417481427797,1.0,0.2962692716619304,0.8233392122281011,,,,,,,,,
28,29,"28,""In such cases, a woman has not often much beauty to think of.""",0.5,1,3,1,66,13,such cases a woman has not often much beauty to think of,0.021893565243174193,0.25,0.19331422552849964,0.4441597485498604,0.5628480646191314,1.0,0.6775590183956872,1.6149116064565718,0.7757588455913448,1.5,0.8988104348860173,2.1152310709054505,0.2438417481427797,1.0,0.48275072132270636,1.0764796310530362,,,,,,,,,
29,30,"29,""But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood.""",0.5,0,2,1,95,17,my dear you must indeed go and see mr bingley when he comes into the neighbourhood,0.021893565243174193,0.25,0.08376491049942954,0.2874494714193936,-0.17447413877675547,0.0,-0.12345552172010059,0.0,0.4240854820377771,1.0,0.3688557379517279,1.0785481572596476,0.2438417481427797,1.0,0.2962692716619304,0.8233392122281011,,,,,,,,,
30,31,"30,""It is more than I engage for, I assure you.""",1.4,1,1,0,48,10,is more than i engage for i assure you,0.7655033894762658,1.15,1.4227896354558203,2.202924120227376,0.5628480646191314,1.0,0.9176233161326866,2.098901098901099,0.07241211848420942,0.5,0.2859595101195183,0.9163888189303999,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
31,32,"31,But consider your daughters.",0.0,0,0,0,31,4,consider your daughters,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
32,33,"32,Only think what an establishment it would be for one of them.",0.0,0,0,0,64,12,think what an establishment it would be for one of them,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
33,34,"33,""Sir William and Lady Lucas are determined to go, merely on that account, for in general, you know, they visit no newcomers.""",1.55,0,1,4,128,22,william and lady lucas are determined to go merely on that account for in general you know they visit no newcomers,0.8894383601817812,1.3,0.5810921848767,0.9988760556159311,-0.17447413877675547,0.0,-0.12345552172010059,0.0,0.07241211848420942,0.5,0.030551925450051667,0.41676747285294424,2.2380181548652898,4.0,1.5647207945355168,2.5452067242162655,,,,,,,,,
34,35,"34,""Indeed you must go, for it will be impossible for _us_ to visit him, if you do not.""",-0.1,-1,0,0,88,18,you must go for it will be impossible for us to visit him if you do not,-0.473846317578887,-0.35,-0.33984927375328905,-0.3185305494782656,-0.9117963421726424,-1.0,-0.7020895676338372,-1.166574125485841,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
35,36,"35,""You are over scrupulous, surely.""",0.0,0,0,0,37,5,are over scrupulous surely,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
36,37,"36,I dare say Mr. Bingley will be very glad to see you; and I will send a few lines by you to assure him of my hearty consent to his marrying whichever he chooses of the girls; though I must throw in a good word for my little Lizzy.",3.95,3,8,3,232,49,dare say mr bingley will be very glad to see you and i will send a few lines by you to assure him of my hearty consent to his marrying whichever he chooses of the girls though i must throw in a good word for my little lizzy,2.872397891470026,3.7,0.704408770558928,1.1752804111513062,2.0374924714109053,3.0,0.5144468961684772,1.2860640685574374,2.534125663359183,4.0,0.5829408329133767,1.4973355768199639,1.5732926859577865,3.0,0.32126809737798395,0.8572740257090391,,,,,,,,,
37,38,"37,I desire you will do no such thing.",0.6,0,0,0,38,8,desire you will do no such thing,0.10451687904685103,0.35,0.6354435675196155,1.0766256995469328,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
38,39,"38,""Lizzy is not a bit better than the others; and I am sure she is not half so handsome as Jane, nor half so good-humoured as Lydia.""",1.8,3,8,1,134,27,is not a bit better than the others and i am sure she is not half so handsome as jane nor half so good humoured as lydia,1.0959966446909732,1.55,0.5352657201899722,0.9333213054190815,2.0374924714109053,3.0,1.0340267996689847,2.333580155497964,2.534125663359183,4.0,1.2064029144456105,2.7169350840409634,0.2438417481427797,1.0,0.0717113616205851,0.5185116623472787,,,,,,,,,
39,40,"39,But you are always giving _her_ the preference.",0.25,0,0,1,50,8,you are always giving her the preference,-0.18466471926601796,0.0,0.10578401509747765,0.3189477969252098,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,0.2438417481427797,1.0,0.9777646817986425,1.7484394506866419,,,,,,,,,
40,41,"40,""They have none of them much to recommend them, replied he; they are all silly and ignorant like other girls; but Lizzy has something more of quickness than her sisters.""",0.15,0,1,0,173,30,have none of them much to recommend them replied he they are all silly and ignorant like other girls but lizzy has something more of quickness than her sisters,-0.26728803306969484,-0.1,-0.21195624670210256,-0.13557959531732613,-0.17447413877675547,0.0,-0.12345552172010059,0.0,0.07241211848420942,0.5,-0.02624314113978196,0.305666513745195,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
41,42,"41,""Mr. Bennet, how can you abuse your own children in such a way?""",-1.0,-1,-3,-1,67,13,bennet how can you abuse your own children in such a way,-1.2174561418119787,-1.25,-1.2042611609548617,-1.555071611942069,-0.9117963421726424,-1.0,-0.9244700618358882,-1.6149116064565718,-1.3342813357300614,-1.5,-1.2638115710761406,-2.1152310709054505,-1.0856091896722273,-1.0,-1.103274008042193,-1.0764796310530362,,,,,,,,,
42,43,"42,You take delight in vexing me.",0.5,0,1,1,33,6,take delight in vexing me,0.021893565243174193,0.25,0.7359114360323006,1.2203449689294228,-0.17447413877675547,0.0,-0.12345552172010059,0.0,0.07241211848420942,0.5,0.5977465838064269,1.5262981826111988,0.2438417481427797,1.0,1.406392410636708,2.330282861896839,,,,,,,,,
43,44,"43,You have no compassion on my poor nerves.",-0.15,0,-2,1,44,8,have no compassion on my poor nerves,-0.5151579744807253,-0.4,-0.49954118767067984,-0.5469698060710451,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.9826079721764936,-1.0,-1.3533583416101542,-2.290400019349139,0.2438417481427797,1.0,0.9777646817986425,1.7484394506866419,,,,,,,,,
44,45,"44,""You mistake me, my dear.""",-0.25,-1,0,0,29,5,mistake me my dear,-0.5977812882844022,-0.5,-0.8774163516741555,-1.0875201660252938,-0.9117963421726424,-1.0,-2.203535195753314,-4.193612774451098,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
45,46,"45,I have a high respect for your nerves.",0.1,1,1,1,41,8,have a high respect for your nerves,-0.3085996899715332,-0.15,-0.12121293594058141,-0.005771304198385704,0.5628480646191314,1.0,1.1775680946227707,2.622971285892634,0.07241211848420942,0.5,0.4029283186624846,1.1452000096745696,0.2438417481427797,1.0,0.9777646817986425,1.7484394506866419,,,,,,,,,
46,47,"46,They are my old friends.",0.0,0,0,0,27,5,are my old friends,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
47,48,"47,I have heard you mention them with consideration these twenty years at least.",0.0,0,0,0,80,13,have heard you mention them with consideration these twenty years at least,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
48,49,"48,""Ah, you do not know what I suffer.""",-0.75,-1,-2,-1,39,8,you do not know what i suffer,-1.0108978573027865,-1.0,-1.4075289918229161,-1.8458462105654272,-0.9117963421726424,-1.0,-1.424479138062972,-2.622971285892634,-0.9826079721764936,-1.0,-1.3533583416101542,-2.290400019349139,-1.0856091896722273,-1.0,-1.5982879685181293,-1.7484394506866419,,,,,,,,,
49,50,"49,""But I hope you will get over it, and live to see many young men of four thousand a year come into the neighbourhood.""",0.9,0,2,2,121,24,i hope you will get over it and live to see many young men of four thousand a year come into the neighbourhood,0.35238682045788167,0.65,0.18182783612411044,0.4277284703961574,-0.17447413877675547,0.0,-0.12345552172010059,0.0,0.4240854820377771,1.0,0.20811045922088542,0.7641026303617912,0.9085672170502831,2.0,0.5491378455630946,1.1665972511453562,,,,,,,,,
50,51,"50,""It will be no use to us, if twenty such should come, since you will not visit them.""",0.4,0,-1,1,88,18,will be no use to us if twenty such should come since you will not visit them,-0.060729748560502644,0.15000000000000002,-0.003324088149947782,0.16286867317581544,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.6309346086229259,-0.5,-0.4428717720333152,-0.5093310426148419,0.2438417481427797,1.0,0.2625918194119763,0.777623542476402,,,,,,,,,
51,52,"51,""Depend upon it, my dear, that when there are twenty, I will visit them all.""",0.9,0,2,2,80,15,upon it my dear that when there are twenty i will visit them all,0.35238682045788167,0.65,0.4542694520342093,0.8174561571444895,-0.17447413877675547,0.0,-0.12345552172010059,0.0,0.4240854820377771,1.0,0.4423209352930723,1.2222587711516726,0.9085672170502831,2.0,1.0644340081417452,1.8660892738174553,,,,,,,,,
52,53,"52,""Mr. Bennet was so odd a mixture of quick parts, sarcastic humour, reserve, and caprice, that the experience of three-and-twenty years had been insufficient to make his wife understand his character.""",-0.35,-2,-4,0,203,31,bennet was so odd a mixture of quick parts sarcastic humour reserve and caprice that the experience of three and twenty years had been insufficient to make his wife understand his character,-0.6804046020880791,-0.6,-0.4093572974162817,-0.4179617658955307,-1.649118545568529,-2.0,-0.7955741393857825,-1.3550467591099646,-1.685954699283629,-2.0,-0.7873745291305916,-1.1832379332464757,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
53,54,"53,_Her_ mind was less difficult to develop.",-0.4,-1,-1,1,44,7,mind was less difficult to develop,-0.7217162589899175,-0.65,-0.9642211088398879,-1.2116943568732699,-0.9117963421726424,-1.0,-1.610074518425721,-2.9971469329529246,-0.6309346086229259,-0.5,-0.8514428481133135,-1.3085666301702288,0.2438417481427797,1.0,1.1615059550024067,1.9978601997146936,,,,,,,,,
54,55,"54,""She was a woman of mean understanding, little information, and uncertain temper.""",0.15,-2,-1,1,85,12,was a woman of mean understanding little information and uncertain temper,-0.26728803306969484,-0.1,-0.12114993373379875,-0.005681179551945656,-1.649118545568529,-2.0,-1.8588758659176692,-3.498751040799334,-0.6309346086229259,-0.5,-0.5729489763321929,-0.76378451935831,0.2438417481427797,1.0,0.5487800605968488,1.166111573688593,,,,,,,,,
55,56,"55,""When she was discontented, she fancied herself nervous.""",-1.25,-2,-4,-1,60,8,she was discontented she fancied herself nervous,-1.424014426321171,-1.5,-2.164185495283113,-2.9282432143107453,-1.649118545568529,-2.0,-2.725502754405843,-5.245942571785268,-1.685954699283629,-2.0,-2.5242161151252467,-4.580800038698278,-1.0856091896722273,-1.0,-1.5982879685181293,-1.7484394506866419,,,,,,,,,
56,57,"56,The business of her life was to get her daughters married; its solace was visiting and news.",0.5,1,0,1,95,17,business of her life was to get her daughters married its solace was visiting and news,0.021893565243174193,0.25,0.08376491049942954,0.2874494714193936,0.5628480646191314,1.0,0.4891958108434736,1.2351557907113462,-0.27926124506935823,0.0,-0.18250056809506168,0.0,0.2438417481427797,1.0,0.2962692716619304,0.8233392122281011,,,,,,,,,
57,58,"57,Mr. Bennet was among the earliest of those who waited on Mr. Bingley.",0.0,0,0,0,72,13,bennet was among the earliest of those who waited on mr bingley,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
58,59,"58,""He had always intended to visit him, though to the last always assuring his wife that he should not go; and till the evening after the visit was paid she had no knowledge of it.""",1.55,1,-1,3,182,35,had always intended to visit him though to the last always assuring his wife that he should not go and till the evening after the visit was paid she had no knowledge of it,0.8894383601817812,1.3,0.2641177924282233,0.5454442393541789,0.5628480646191314,1.0,0.17420797919125042,0.6001142530705513,-0.6309346086229259,-0.5,-0.3164418815177394,-0.2620123415450815,1.5732926859577865,3.0,0.5738078394610512,1.2000856898029137,,,,,,,,,
59,60,"59,It was then disclosed in the following manner.",0.0,0,0,0,49,8,was then disclosed in the following manner,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
60,61,"60,""Observing his second daughter employed in trimming a hat, he suddenly addressed her with,""",0.6,0,0,1,94,14,his second daughter employed in trimming a hat he suddenly addressed her with,0.10451687904685103,0.35,0.24658369422101317,0.5203617147527647,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,0.2438417481427797,1.0,0.4261474119235309,0.9996431120628125,,,,,,,,,
61,62,"61,""I hope Mr. Bingley will like it, Lizzy.""",1.0,1,4,1,44,8,hope mr bingley will like it lizzy,0.43501013426155843,0.75,1.240768770287773,1.9425433025431875,0.5628480646191314,1.0,1.1775680946227707,2.622971285892634,1.1274322091449125,2.0,2.159214978935123,4.580800038698278,0.2438417481427797,1.0,0.9777646817986425,1.7484394506866419,,,,,,,,,
62,63,"62,""We are not in a way to know _what_ Mr. Bingley likes, said her mother resentfully, since we are not to visit.""",0.9,1,2,1,114,22,are not in a way to know what mr bingley likes said her mother resentfully since we are not to visit,0.35238682045788167,0.65,0.2231156210179525,0.48679063989580373,0.5628480646191314,1.0,0.35002013329609194,0.9545661063153111,0.4240854820377771,1.0,0.24360441899516502,0.8335349457058885,0.2438417481427797,1.0,0.15848396611407178,0.6363016810540664,,,,,,,,,
63,64,"63,""But you forget, mamma, said Elizabeth, that we shall meet him at the assemblies, and that Mrs. Long has promised to introduce him.""",0.0,1,0,-1,135,23,you forget mamma said elizabeth that we shall meet him at the assemblies and that mrs long has promised to introduce him,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,0.5628480646191314,1.0,0.32944318175258075,0.9130812690134724,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-1.0856091896722273,-1.0,-0.7586358660680732,-0.6086484137331596,,,,,,,,,
64,65,"64,I do not believe Mrs. Long will do any such thing.",0.0,0,0,0,53,11,do not believe mrs long will do any such thing,-0.3912230037752101,-0.25,-0.2725442366326208,-0.22225070494744942,-0.17447413877675547,0.0,-0.12345552172010059,0.0,-0.27926124506935823,0.0,-0.18250056809506168,0.0,-0.42088372076472375,0.0,-0.31026164335974327,0.0,,,,,,,,,
