,sent_no,sent_raw,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
19,19,"'I see a globe,' said Neville, 'hanging down in a drop against the enormous flanks of some hill.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,"'I see a crimson tassel,' said Jinny, 'twisted with gold threads.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,"'I hear something stamping,' said Louis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,"'A great beast's foot is chained. It stamps, and stamps, and stamps.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,"'Look at the spider's web on the corner of the balcony,' said Bernard.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,"'It has beads of water on it, drops of white light.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,"'The leaves are gathered round the window like pointed ears,' said Susan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,"'A shadow falls on the path,' said Louis, 'like an elbow bent.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,"'Islands of light are swimming on the grass,' said Rhoda.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,'They have fallen through the trees.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,"'The birds' eyes are bright in the tunnels between the leaves,' said Neville.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,"'The stalks are covered with harsh, short hairs,' said Jinny, 'and drops of water have stuck to them.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,"'A caterpillar is curled in a green ring,' said Susan, 'notched with blunt feet.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,"'The grey-shelled snail draws across the path and flattens the blades behind him,' said Rhoda.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,"'And burning lights from the window-panes flash in and out on the grasses,' said Louis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,"'Stones are cold to my feet,' said Neville.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,"'I feel each one, round or pointed, separately.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,"'The back of my hand burns,' said Jinny, 'but the palm is clammy and damp with dew.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,"'Now the cock crows like a spurt of hard, red water in the white tide,' said Bernard.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,"'Birds are singing up and down and in and out all round us,' said Susan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,"'The beast stamps; the elephant with its foot chained; the great brute on the beach stamps,' said Louis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,"'Look at the house,' said Jinny, 'with all its windows white with blinds.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,"'Cold water begins to run from the scullery tap,' said Rhoda, 'over the mackerel in the bowl.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,"'The walls are cracked with gold cracks,' said Bernard, 'and there are blue, finger-shaped shadows of leaves beneath the windows.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,"'Now Mrs Constable pulls up her thick black stockings,' said Susan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,"'When the smoke rises, sleep curls off the roof like a mist,' said Louis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,"'The birds sang in chorus first,' said Rhoda.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,'Now the scullery door is unbarred. Off they fly. Off they fly like a fling of seed. But one sings by the bedroom window alone.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,"'Bubbles form on the floor of the saucepan,' said Jinny.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,"'Then they rise, quicker and quicker, in a silver chain to the top.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,"'Now Billy scrapes the fish-scales with a jagged knife on to a wooden board,' said Neville.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,"'The dining-room window is dark blue now,' said Bernard, 'and the air ripples above the chimneys.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,"'A swallow is perched on the lightning-conductor,' said Susan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,'And Biddy has smacked down the bucket on the kitchen flags.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,"'That is the first stroke of the church bell,' said Louis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,"'Then the others follow; one, two; one, two; one, two.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,"'Look at the table-cloth, flying white along the table,' said Rhoda.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,"'Now there are rounds of white china, and silver streaks beside each plate.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,"'Suddenly a bee booms in my ear,' said Neville.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,'It is here; it is past.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,"'I burn, I shiver,' said Jinny, 'out of this sun, into this shadow.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,"'Now they have all gone,' said Louis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,'I am alone.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62,"They have gone into the house for breakfast, and I am left standing by the wall among the flowers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,"It is very early, before lessons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64,Flower after flower is specked on the depths of green.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65,The petals are harlequins.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,Stalks rise from the black hollows beneath.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,"The flowers swim like fish made of light upon the dark, green waters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68,I hold a stalk in my hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,69,I am the stalk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70,"My roots go down to the depths of the world, through earth dry with brick, and damp earth, through veins of lead and silver.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,71,I am all fibre.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,72,"All tremors shake me, and the weight of the earth is pressed to my ribs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,73,"Up here my eyes are green leaves, unseeing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,I am a boy in grey flannels with a belt fastened by a brass snake up here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,75,Down there my eyes are the lidless eyes of a stone figure in a desert by the Nile.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,76,I see women passing with red pitchers to the river; I see camels swaying and men in turbans.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,77,"I hear tramplings, tremblings, stirrings round me.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,78,"'Up here Bernard, Neville, Jinny and Susan (but not Rhoda) skim the flower-beds with their nets.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79,They skim the butterflies from the nodding tops of the flowers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,They brush the surface of the world.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,81,Their nets are full of fluttering wings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,82,"""Louis! Louis! Louis!"" they shout.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,83,But they cannot see me. I am on the other side of the hedge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,There are only little eye-holes among the leaves.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,85,"Oh Lord, let them pass.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86,"Lord, let them lay their butterflies on a pocket-handkerchief on the gravel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,87,"Let them count out their tortoise-shells, their red admirals and cabbage whites.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,88,But let me be unseen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,89,I am green as a yew tree in the shade of the hedge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,90,My hair is made of leaves.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,91,I am rooted to the middle of the earth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92,My body is a stalk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,93,I press the stalk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,94,"A drop oozes from the hole at the mouth and slowly, thickly, grows larger and larger.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,95,Now something pink passes the eyehole.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,96,Now an eye-beam is slid through the chink.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,97,Its beam strikes me. I am a boy in a grey flannel suit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,She has found me. I am struck on the nape of the neck.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,99,She has kissed me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,100,All is shattered.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,101,"'I was running,' said Jinny, 'after breakfast. I saw leaves moving in a hole in the hedge. I thought ""That is a bird on its nest.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,102,"I parted them and looked; but there was no bird on a nest. The leaves went on moving. I was frightened. I ran past Susan, past Rhoda, and Neville and Bernard in the tool-house talking. I cried as I ran, faster and faster. What moved the leaves? What moves my heart, my legs? And I dashed in here, seeing you green as a bush, like a branch, very still, Louis, with your eyes fixed. ""Is he dead?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,103,"I thought, and kissed you, with my heart jumping under my pink frock like the leaves, which go on moving, though there is nothing to move them. Now I smell geraniums; I smell earth mould. I dance. I ripple. I am thrown over you like a net of light. I lie quivering flung over you.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,104,"'Through the chink in the hedge,' said Susan, 'I saw her kiss him. I raised my head from my flower-pot and looked through a chink in the hedge. I saw her kiss him. I saw them, Jinny and Louis, kissing. Now I will wrap my agony inside my pocket-handkerchief. It shall be screwed tight into a ball. I will go to the beech wood alone, before lessons. I will not sit at a table, doing sums. I will not sit next Jinny and next Louis. I will take my anguish and lay it upon the roots under the beech trees. I will examine it and take it between my fingers. They will not find me. I shall eat nuts and peer for eggs through the brambles and my hair will be matted and I shall sleep under hedges and drink water from ditches and die there.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,105,"'Susan has passed us,' said Bernard.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,106,"'She has passed the tool-house door with her handkerchief screwed into a ball. She was not crying, but her eyes, which are so beautiful, were narrow as cats' eyes before they spring.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,107,"I shall follow her, Neville.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,108,"I shall go gently behind her, to be at hand, with my curiosity, to comfort her when she bursts out in a rage and thinks, ""I am alone.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,109,"'Now she walks across the field with a swing, nonchalantly, to deceive us.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,110,Then she comes to the dip; she thinks she is unseen; she begins to run with her fists clenched in front of her.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,111,Her nails meet in the ball of her pocket-handkerchief.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,112,She is making for the beech woods out of the light.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,113,She spreads her arms as she comes to them and takes to the shade like a swimmer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,114,"But she is blind after the light and trips and flings herself down on the roots under the trees, where the light seems to pant in and out, in and out.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,115,The branches heave up and down.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,116,There is agitation and trouble here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,117,There is gloom.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,118,The light is fitful.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,119,There is anguish here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,120,"The roots make a skeleton on the ground, with dead leaves heaped in the angles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,121,Susan has spread her anguish out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,122,"Her pocket-handkerchief is laid on the roots of the beech trees and she sobs, sitting crumpled where she has fallen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,123,"'I saw her kiss him,' said Susan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,124,"'I looked between the leaves and saw her. She danced in flecked with diamonds light as dust. And I am squat, Bernard, I am short. I have eyes that look close to the ground and see insects in the grass. The yellow warmth in my side turned to stone when I saw Jinny kiss Louis. I shall eat grass and die in a ditch in the brown water where dead leaves have rotted.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,125,"'I saw you go,' said Bernard.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,126,"'As you passed the door of the tool-house I heard you cry ""I am unhappy.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,127,"I put down my knife. I was making boats out of firewood with Neville. And my hair is untidy, because when Mrs Constable told me to brush it there was a fly in a web, and I asked, ""Shall I free the fly? Shall I let the fly be eaten?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,"So I am late always. My hair is unbrushed and these chips of wood stick in it. When I heard you cry I followed you, and saw you put down your handkerchief, screwed up, with its rage, with its hate, knotted in it. But soon that will cease. Our bodies are close now. You hear me breathe. You see the beetle too carrying off a leaf on its back. It runs this way, then that way, so that even your desire while you watch the beetle, to possess one single thing (it is Louis now) must waver, like the light in and out of the beech leaves; and then words, moving darkly, in the depths of your mind will break up this knot of hardness, screwed in your pocket-handkerchief.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,129,"'I love,' said Susan, 'and I hate. I desire one thing only. My eyes are hard. Jinny's eyes break into a thousand lights. Rhoda's are like those pale flowers to which moths come in the evening. Yours grow full and brim and never break. But I am already set on my pursuit. I see insects in the grass. Though my mother still knits white socks for me and hems pinafores and I am a child, I love and I hate.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,130,"'But when we sit together, close,' said Bernard, 'we melt into each other with phrases. We are edged with mist. We make an unsubstantial territory.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,131,"'I see the beetle,' said Susan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,132,"'It is black, I see; it is green, I see; I am tied down with single words. But you wander off; you slip away; you rise up higher, with words and words in phrases.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,133,"'Now,' said Bernard, 'let us explore.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,134,There is the white house lying among the trees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,135,It lies down there ever so far beneath us.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,136,We shall sink like swimmers just touching the ground with the tips of their toes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,137,"We shall sink through the green air of the leaves, Susan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,138,We sink as we run.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,139,"The waves close over us, the beech leaves meet above our heads.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,140,There is the stable clock with its gilt hands shining.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,141,Those are the flats and heights of the roofs of the great house.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,142,There is the stable-boy clattering in the yard in rubber boots.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,143,That is Elvedon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,144,'Now we have fallen through the tree-tops to the earth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,145,"The air no longer rolls its long, unhappy, purple waves over us.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,146,We touch earth; we tread ground.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,147,That is the close-clipped hedge of the ladies' garden.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,148,"There they walk at noon, with scissors, clipping roses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,149,Now we are in the ringed wood with the wall round it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,150,This is Elvedon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,151,"I have seen signposts at the cross-roads with one arm pointing ""To Elvedon"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,152,No one has been there.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,153,"The ferns smell very strong, and there are red funguses growing beneath them.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,154,"Now we wake the sleeping daws who have never seen a human form; now we tread on rotten oak apples, red with age and slippery.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,155,There is a ring of wall round this wood; nobody comes here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,156,Listen!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,157,That is the flop of a giant toad in the undergrowth; that is the patter of some primeval fir-cone falling to rot among the ferns.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,158,'Put your foot on this brick.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,159,Look over the wall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,160,That is Elvedon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,161,"The lady sits between the two long windows, writing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,162,The gardeners sweep the lawn with giant brooms.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,163,We are the first to come here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,164,We are the discoverers of an unknown land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,165,Do not stir; if the gardeners saw us they would shoot us.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,166,We should be nailed like stoats to the stable door.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,167,Look!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,168,Do not move.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,169,Grasp the ferns tight on the top of the wall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,170,'I see the lady writing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,171,"I see the gardeners sweeping,' said Susan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,172,"'If we died here, nobody would bury us.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,173,'Run!' said Bernard.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,174,'Run!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,175,The gardener with the black beard has seen us!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,176,We shall be shot!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,177,We shall be shot like jays and pinned to the wall!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,178,We are in a hostile country.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,179,We must escape to the beech wood.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,180,We must hide under the trees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,181,I turned a twig as we came.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,182,There is a secret path.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,183,Bend as low as you can.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,184,Follow without looking back.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,185,They will think we are foxes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,186,Run!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,187,'Now we are safe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,188,Now we can stand upright again.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,189,"Now we can stretch our arms in this high canopy, in this vast wood.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,190,I hear nothing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,191,That is only the murmur of the waves in the air.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,192,That is a wood-pigeon breaking cover in the tops of the beech trees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,193,The pigeon beats the air; the pigeon beats the air with wooden wings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,194,"'Now you trail away,' said Susan, 'making phrases. Now you mount like an air-ball's string, higher and higher through the layers of the leaves, out of reach. Now you lag. Now you tug at my skirts, looking back, making phrases. You have escaped me. Here is the garden. Here is the hedge. Here is Rhoda on the path rocking petals to and fro in her brown basin.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
