"","sent_raw","syuzhet","bing","afinn","nrc"
"86","85,""But the little woman evidently expected her to answer; so Dorothy said, with hesitation, You are very kind, but there must be some mistake.""",-0.5,-1,0,-1
"87","86,I have not killed anything.",-0.5,-1,-3,0
"88","87,""Your house did, anyway, replied the little old woman, with a laugh, and that is the same thing.""",0.5,0,1,1
"89","88,""See! she continued, pointing to the corner of the house.""",0,0,0,0
"90","89,""There are her two feet, still sticking out from under a block of wood.""",-0.4,0,-1,0
"91","90,""Dorothy looked, and gave a little cry of fright.""",-1.5,-2,-3,-2
"92","91,""There, indeed, just under the corner of the great beam the house rested on, two feet were sticking out, shod in silver shoes with pointed toes.""",0.5,1,3,1
"93","92,""Oh, dear!""",0.5,0,2,1
"94","93,""Oh, dear! cried Dorothy, clasping her hands together in dismay.""",-1,-1,0,0
"95","94,The house must have fallen on her.",-0.5,-1,-2,0
"96","95,Whatever shall we do?",0,0,0,0
"97","96,""There is nothing to be done, said the little woman calmly.""",0,0,0,0
"98","97,But who was she?",0,0,0,0
"99","98,asked Dorothy.",0,0,0,0
"100","99,""She was the Wicked Witch of the East, as I said, answered the little woman.""",-1.15,-1,-2,-2
"101","100,""She has held all the Munchkins in bondage for many years, making them slave for her night and day.""",-1.25,-2,-3,-2
"102","101,""Now they are all set free, and are grateful to you for the favor.""",2.1,3,6,1
"103","102,Who are the Munchkins?",0,0,0,0
"104","103,inquired Dorothy.",0,0,0,0
"105","104,They are the people who live in this land of the East where the Wicked Witch ruled.",-1.15,-1,-2,-1
"106","105,Are you a Munchkin?",0,0,0,0
"107","106,asked Dorothy.",0,0,0,0
"108","107,""No, but I am their friend, although I live in the land of the North.""",0.8,0,0,2
"109","108,""When they saw the Witch of the East was dead the Munchkins sent a swift messenger to me, and I came at once.""",-0.65,0,-1,0
"110","109,I am the Witch of the North.",-0.4,0,0,-1
"111","110,""Oh, gracious! cried Dorothy.""",0,1,1,1
"112","111,Are you a real witch?",-0.15,0,0,0
"113","112,""Yes, indeed, answered the little woman.""",0.8,0,1,0
"114","113,""But I am a good witch, and the people love me. I am not as powerful as the Wicked Witch was who ruled here, or I should have set the people free myself.""",1.6,3,7,1
"115","114,""But I thought all witches were wicked, said the girl, who was half frightened at facing a real witch.""",-1.4,-1,-4,-2
"116","115,""Oh, no, that is a great mistake.""",-0.25,0,0,-1
"117","116,""There were only four witches in all the Land of Oz, and two of them, those who live in the North and the South, are good witches.""",0.75,1,3,2
"118","117,""I know this is true, for I am one of them myself, and cannot be mistaken.""",-0.5,-1,0,0
"119","118,""Those who dwelt in the East and the West were, indeed, wicked witches; but now that you have killed one of them, there is but one Wicked Witch in all the Land of Ozthe one who lives in the West.""",-1.65,-2,-5,-1
"120","119,""But, said Dorothy, after a moments thought, Aunt Em has told me that the witches were all deadyears and years ago.""",0.25,0,0,1
"121","120,Who is Aunt Em?",0.25,0,0,1
"122","121,inquired the little old woman.",0,0,0,0
"123","122,""She is my aunt who lives in Kansas, where I came from.""",0.25,0,0,1
"124","123,""The Witch of the North seemed to think for a time, with her head bowed and her eyes upon the ground.""",-0.65,0,0,-1
"125","124,""Then she looked up and said, I do not know where Kansas is, for I have never heard that country mentioned before.""",0,0,0,0
"126","125,""But tell me, is it a civilized country?""",1,0,0,1
"127","126,""Oh, yes, replied Dorothy.""",0.8,0,1,0
"128","127,Then that accounts for it.",0,0,0,0
"129","128,""In the civilized countries I believe there are no witches left, nor wizards, nor sorceresses, nor magicians.""",1,0,-1,1
"130","129,""But, you see, the Land of Oz has never been civilized, for we are cut off from all the rest of the world.""",0.75,0,-1,3
"131","130,Therefore we still have witches and wizards amongst us.",0,0,0,0
"132","131,Who are the wizards?",0,0,0,0
"133","132,asked Dorothy.",0,0,0,0
"134","133,""Oz himself is the Great Wizard, answered the Witch, sinking her voice to a whisper.""",0.25,0,3,0
"135","134,He is more powerful than all the rest of us together.",0.75,1,2,2
"136","135,He lives in the City of Emeralds.",0,0,0,0
"137","136,""Dorothy was going to ask another question, but just then the Munchkins, who had been standing silently by, gave a loud shout and pointed to the corner of the house where the Wicked Witch had been lying.""",-1.9,-3,-2,-1
"138","137,What is it?",0,0,0,0
"139","138,""asked the little old woman, and looked, and began to laugh.""",0.5,0,1,1
"140","139,""The feet of the dead Witch had disappeared entirely, and nothing was left but the silver shoes.""",-2,-1,-4,-1
"141","140,""She was so old, explained the Witch of the North, that she dried up quickly in the sun.""",0.2,0,0,0
"142","141,That is the end of her.",0,0,0,0
"143","142,""But the silver shoes are yours, and you shall have them to wear.""",0,0,0,-1
"144","143,""She reached down and picked up the shoes, and after shaking the dust out of them handed them to Dorothy.""",-0.5,-1,1,-2
"145","144,""The Witch of the East was proud of those silver shoes, said one of the Munchkins, and there is some charm connected with them; but what it is we never knew.""",1.1,2,5,1
"146","145,Dorothy carried the shoes into the house and placed them on the table.",0,0,0,0
"147","146,Then she came out again to the Munchkins and said:",0,0,0,0
"148","147,""I am anxious to get back to my aunt and uncle, for I am sure they will worry about me.""",-1.25,-2,-5,-1
"149","148,Can you help me find my way?",0,0,2,0
"150","149,""The Munchkins and the Witch first looked at one another, and then at Dorothy, and then shook their heads.""",-0.4,0,0,-1
"151","150,""At the East, not far from here, said one, there is a great desert, and none could live to cross it.""",0,0,3,-2
"152","151,""It is the same at the South, said another, for I have been there and seen it.""",0,0,0,0
"153","152,The South is the country of the Quadlings.",0,0,0,0
"154","153,""I am told, said the third man, that it is the same at the West.""",0,0,0,0
"155","154,""And that country, where the Winkies live, is ruled by the Wicked Witch of the West, who would make you her slave if you passed her way.""",-1.9,-2,-5,-3
"156","155,""The North is my home, said the old lady, and at its edge is the same great desert that surrounds this Land of Oz.""",0,0,3,0
"157","156,""Im afraid, my dear, you will have to live with us.""",-0.25,-1,0,0
"158","157,""Dorothy began to sob at this, for she felt lonely among all these strange people.""",-1.75,-3,-3,-2
"159","158,""Her tears seemed to grieve the kind-hearted Munchkins, for they immediately took out their handkerchiefs and began to weep also.""",-2.55,-2,-2,-1
"160","159,""As for the little old woman, she took off her cap and balanced the point on the end of her nose, while she counted One, two, three in a solemn voice.""",0.25,0,0,1
"161","160,""At once the cap changed to a slate, on which was written in big, white chalk marks:""",0.65,0,1,2
"162","161,LET DOROTHY GO TO THE CITY OF EMERALDS",0,0,0,0
"163","162,""The little old woman took the slate from her nose, and having read the words on it, asked, Is your name Dorothy, my dear?""",0.5,0,2,1
"164","163,""Yes, answered the child, looking up and drying her tears.""",0.6,0,-1,1
"165","164,Then you must go to the City of Emeralds.",0,0,0,0
"166","165,Perhaps Oz will help you.",0,0,2,0
"167","166,Where is this city?",0,0,0,0
"168","167,asked Dorothy.",0,0,0,0
"169","168,""It is exactly in the center of the country, and is ruled by Oz, the Great Wizard I told you of.""",1.15,1,3,2
"170","169,Is he a good man?",0.75,1,3,1
"171","170,inquired the girl anxiously.",-1,-1,0,0
"172","171,He is a good Wizard.",1.15,1,3,2
"173","172,""Whether he is a man or not I cannot tell, for I have never seen him.""",0,0,0,0
"174","173,How can I get there?",0,0,0,0
"175","174,asked Dorothy.",0,0,0,0
"176","175,You must walk.",0,0,0,0
"177","176,""It is a long journey, through a country that is sometimes pleasant and sometimes dark and terrible.""",0.05,-1,0,1
"178","177,""However, I will use all the magic arts I know of to keep you from harm.""",-0.5,0,-2,-1
"179","178,Wont you go with me?",0,0,0,0
"180","179,""pleaded the girl, who had begun to look upon the little old woman as her only friend.""",0.4,0,1,1
"181","180,""No, I cannot do that, she replied, but I will give you my kiss, and no one will dare injure a person who has been kissed by the Witch of the North.""",-0.4,-1,1,-1
"182","181,She came close to Dorothy and kissed her gently on the forehead.",0,0,0,0
"183","182,""Where her lips touched the girl they left a round, shining mark, as Dorothy found out soon after.""",1.45,0,0,1
"184","183,""The road to the City of Emeralds is paved with yellow brick, said the Witch, so you cannot miss it.""",-0.4,-1,-2,-1
"185","184,""When you get to Oz do not be afraid of him, but tell your story and ask him to help you.""",-0.75,-1,0,-1
"186","185,""Good-bye, my dear.""",0.5,1,5,2
"187","186,""The three Munchkins bowed low to her and wished her a pleasant journey, after which they walked away through the trees.""",1.15,1,3,2
"188","187,""The Witch gave Dorothy a friendly little nod, whirled around on her left heel three times, and straightway disappeared, much to the surprise of little Toto, who barked after her loudly enough when she had gone, because he had been afraid even to growl while she stood by.""",-1.15,0,-1,-2
"189","188,""But Dorothy, knowing her to be a witch, had expected her to disappear in just that way, and was not surprised in the least.""",-0.4,0,-1,0
"190","189,How Dorothy Saved the Scarecrow",0.8,0,2,0
"191","190,When Dorothy was left alone she began to feel hungry.",-0.85,0,-2,-1
"192","191,""So she went to the cupboard and cut herself some bread, which she spread with butter.""",-0.25,0,-1,0
"193","192,""She gave some to Toto, and taking a pail from the shelf she carried it down to the little brook and filled it with clear, sparkling water.""",1,2,4,0
"194","193,Toto ran over to the trees and began to bark at the birds sitting there.",0,0,0,-1
"195","194,""Dorothy went to get him, and saw such delicious fruit hanging from the branches that she gathered some of it, finding it just what she wanted to help out her breakfast.""",0.85,1,5,1
"196","195,""Then she went back to the house, and having helped herself and Toto to a good drink of the cool, clear water, she set about making ready for the journey to the City of Emeralds.""",4,5,5,3
"197","196,""Dorothy had only one other dress, but that happened to be clean and was hanging on a peg beside her bed.""",0.5,1,2,0
"198","197,""It was gingham, with checks of white and blue; and although the blue was somewhat faded with many washings, it was still a pretty frock.""",1.15,1,1,2
"199","198,""The girl washed herself carefully, dressed herself in the clean gingham, and tied her pink sunbonnet on her head.""",1,1,4,2
"200","199,""She took a little basket and filled it with bread from the cupboard, laying a white cloth over the top.""",0.4,1,2,2
"201","200,Then she looked down at her feet and noticed how old and worn her shoes were.",-0.1,-1,-1,-1
"202","201,""They surely will never do for a long journey, Toto, she said.""",0.4,0,0,1
"203","202,And Toto looked up into her face with his little black eyes and wagged his tail to show he knew what she meant.",-0.25,0,0,-1
"204","203,At that moment Dorothy saw lying on the table the silver shoes that had belonged to the Witch of the East.",-0.9,-1,0,-2
"205","204,""I wonder if they will fit me, she said to Toto.""",0.4,1,1,0
"206","205,""They would be just the thing to take a long walk in, for they could not wear out.""",0,0,0,-1
"207","206,""She took off her old leather shoes and tried on the silver ones, which fitted her as well as if they had been made for her.""",1.2,1,0,0
"208","207,Finally she picked up her basket.",0.4,0,0,1
"209","208,""Come along, Toto, she said.""",0,0,0,0
"210","209,We will go to the Emerald City and ask the Great Oz how to get back to Kansas again.",0.5,1,3,0
"211","210,""She closed the door, locked it, and put the key carefully in the pocket of her dress.""",0.25,0,2,1
"212","211,""And so, with Toto trotting along soberly behind her, she started on her journey.""",0.4,0,0,1
"213","212,""There were several roads nearby, but it did not take her long to find the one paved with yellow bricks.""",0,0,0,0
"214","213,""Within a short time she was walking briskly toward the Emerald City, her silver shoes tinkling merrily on the hard, yellow road-bed.""",0.75,0,-1,0
"215","214,""The sun shone bright and the birds sang sweetly, and Dorothy did not feel nearly so bad as you might think a little girl would who had been suddenly whisked away from her own country and set down in the midst of a strange land.""",0.35,0,-3,1
"216","215,""She was surprised, as she walked along, to see how pretty the country was about her.""",0.75,1,1,1
"217","216,""There were neat fences at the sides of the road, painted a dainty blue color, and beyond them were fields of grain and vegetables in abundance.""",1.4,2,0,0
"218","217,Evidently the Munchkins were good farmers and able to raise large crops.",0.75,1,3,1
"219","218,""Once in a while she would pass a house, and the people came out to look at her and bow low as she went by; for everyone knew she had been the means of destroying the Wicked Witch and setting them free from bondage.""",-1.9,-1,-4,-4
"220","219,""The houses of the Munchkins were odd-looking dwellings, for each was round, with a big dome for a roof.""",0.25,-1,-1,0
"221","220,""All were painted blue, for in this country of the East blue was the favorite color.""",0.75,1,2,1
"222","221,""Toward evening, when Dorothy was tired with her long walk and began to wonder where she should pass the night, she came to a house rather larger than the rest.""",-0.75,0,-2,0
"223","222,On the green lawn before it many men and women were dancing.",0,0,0,1
"224","223,""Five little fiddlers played as loudly as possible, and the people were laughing and singing, while a big table near by was loaded with delicious fruits and nuts, pies and cakes, and many other good things to eat.""",3.05,2,5,4
"225","224,""The people greeted Dorothy kindly, and invited her to supper and to pass the night with them; for this was the home of one of the richest Munchkins in the land, and his friends were gathered with him to celebrate their freedom from the bondage of the Wicked Witch.""",0.9,1,4,-1
"226","225,""Dorothy ate a hearty supper and was waited upon by the rich Munchkin himself, whose name was Boq.""",0.75,1,2,0
"227","226,Then she sat upon a settee and watched the people dance.",0.6,0,0,1
"228","227,""When Boq saw her silver shoes he said, You must be a great sorceress.""",0.5,1,3,0
"229","228,Why?",0,0,0,0
"230","229,asked the girl.",0,0,0,0
"231","230,Because you wear silver shoes and have killed the Wicked Witch.",-1.65,-2,-5,-3
"232","231,""Besides, you have white in your frock, and only witches and sorceresses wear white.""",0.4,0,0,0
"233","232,""My dress is blue and white checked, said Dorothy, smoothing out the wrinkles in it.""",-0.1,-1,0,1
"234","233,""It is kind of you to wear that, said Boq.""",0.5,0,2,0
"235","234,""Blue is the color of the Munchkins, and white is the witch color.""",0,0,0,0
"236","235,So we know you are a friendly witch.",0.35,1,2,0
"237","236,""Dorothy did not know what to say to this, for all the people seemed to think her a witch, and she knew very well she was only an ordinary little girl who had come by the chance of a cyclone into a strange land.""",-0.1,0,1,-1
"238","237,""When she had tired watching the dancing, Boq led her into the house, where he gave her a room with a pretty bed in it.""",0.4,1,-1,0
"239","238,""The sheets were made of blue cloth, and Dorothy slept soundly in them till morning, with Toto curled up on the blue rug beside her.""",0.25,1,0,0
"240","239,""She ate a hearty breakfast, and watched a wee Munchkin baby, who played with Toto and pulled his tail and crowed and laughed in a way that greatly amused Dorothy.""",2.75,0,4,3
"241","240,""Toto was a fine curiosity to all the people, for they had never seen a dog before.""",0.75,1,2,1
"242","241,How far is it to the Emerald City?",0,0,0,0
"243","242,the girl asked.",0,0,0,0
"244","243,""I do not know, answered Boq gravely, for I have never been there.""",-1,-1,0,0
"245","244,""It is better for people to keep away from Oz, unless they have business with him.""",0.8,1,2,0
"246","245,""But it is a long way to the Emerald City, and it will take you many days.""",0,0,0,0
"247","246,""The country here is rich and pleasant, but you must pass through rough and dangerous places before you reach the end of your journey.""",1.15,0,4,1
"248","247,""This worried Dorothy a little, but she knew that only the Great Oz could help her get to Kansas again, so she bravely resolved not to turn back.""",1.35,0,4,-1
"249","248,""She bade her friends good-bye, and again started along the road of yellow brick.""",0,1,3,1
"250","249,""When she had gone several miles she thought she would stop to rest, and so climbed to the top of the fence beside the road and sat down.""",-0.4,1,1,2
"251","250,""There was a great cornfield beyond the fence, and not far away she saw a Scarecrow, placed high on a pole to keep the birds from the ripe corn.""",1,1,3,1
"252","251,Dorothy leaned her chin upon her hand and gazed thoughtfully at the Scarecrow.",1,1,0,0
"253","252,""Its head was a small sack stuffed with straw, with eyes, nose, and mouth painted on it to represent a face.""",-0.25,-1,0,-1
"254","253,""An old, pointed blue hat, that had belonged to some Munchkin, was perched on his head, and the rest of the figure was a blue suit of clothes, worn and faded, which had also been stuffed with straw.""",-0.1,-1,-1,0
"255","254,""On the feet were some old boots with blue tops, such as every man wore in this country, and the figure was raised above the stalks of corn by means of the pole stuck up its back.""",-0.25,0,0,0
"256","255,""While Dorothy was looking earnestly into the queer, painted face of the Scarecrow, she was surprised to see one of the eyes slowly wink at her.""",0,-1,0,1
"257","256,""She thought she must have been mistaken at first, for none of the scarecrows in Kansas ever wink; but presently the figure nodded its head to her in a friendly way.""",-0.25,0,0,0
"258","257,""Then she climbed down from the fence and walked up to it, while Toto ran around the pole and barked.""",0,0,0,0
"259","258,""Good day, said the Scarecrow, in a rather husky voice.""",0.75,1,3,1
"260","259,Did you speak?",0,0,0,0
"261","260,""asked the girl, in wonder.""",0,1,0,0
"262","261,""Certainly, answered the Scarecrow.""",0,0,0,0
"263","262,How do you do?",0,0,0,0
"264","263,""Im pretty well, thank you, replied Dorothy politely.""",3.05,3,3,1
"265","264,How do you do?",0,0,0,0
"266","265,""Im not feeling well, said the Scarecrow, with a smile, for it is very tedious being perched up here night and day to scare away crows.""",0.55,0,1,-1
"267","266,Cant you get down?",0,0,0,0
"268","267,asked Dorothy.",0,0,0,0
"269","268,""No, for this pole is stuck up my back.""",-0.25,-1,-3,0
"270","269,If you will please take away the pole I shall be greatly obliged to you.",1,0,1,0
"271","270,""Dorothy reached up both arms and lifted the figure off the pole, for, being stuffed with straw, it was quite light.""",0,0,1,0
"272","271,""Thank you very much, said the Scarecrow, when he had been set down on the ground.""",0.5,1,2,0
"273","272,I feel like a new man.",1.3,1,2,0
"274","273,""Dorothy was puzzled at this, for it sounded queer to hear a stuffed man speak, and to see him bow and walk along beside her.""",-1,-2,-2,0
"275","274,Who are you?",0,0,0,0
"276","275,asked the Scarecrow when he had stretched himself and yawned.",0,0,0,0
"277","276,And where are you going?",0,0,0,0
"278","277,""My name is Dorothy, said the girl, and I am going to the Emerald City, to ask the Great Oz to send me back to Kansas.""",0.5,1,3,0
"279","278,Where is the Emerald City?",0,0,0,0
"280","279,he inquired.",0,0,0,0
"281","280,And who is Oz?",0,0,0,0
"282","281,""Why, dont you know?""",0,0,0,0
"283","282,""she returned, in surprise.""",0.6,0,0,1
"284","283,""No, indeed.""",0,0,-1,0
"285","284,I dont know anything.",0,0,0,0
"286","285,""You see, I am stuffed, so I have no brains at all, he answered sadly.""",-0.4,-1,-3,0
"287","286,""Oh, said Dorothy, Im awfully sorry for you.""",-1.5,-2,-1,0
"288","287,""Do you think, he asked, if I go to the Emerald City with you, that Oz would give me some brains?""",0.6,0,0,1
"289","288,""I cannot tell, she returned, but you may come with me, if you like.""",0.5,1,2,0
"290","289,If Oz will not give you any brains you will be no worse off than you are now.",-0.15,-1,-4,0
"291","290,""That is true, said the Scarecrow.""",0.5,0,2,1
"292","291,""You see, he continued confidentially, I dont mind my legs and arms and body being stuffed, because I cannot get hurt.""",-0.75,-1,-2,-1
"293","292,""If anyone treads on my toes or sticks a pin into me, it doesnt matter, for I cant feel it.""",0,0,1,0
"294","293,""But I do not want people to call me a fool, and if my head stays stuffed with straw instead of with brains, as yours is, how am I ever to know anything?""",-0.15,-1,-1,0
"295","294,""I understand how you feel, said the little girl, who was truly sorry for him.""",-0.5,-1,-1,0
"296","295,If you will come with me Ill ask Oz to do all he can for you.",-0.5,0,-2,-1
"297","296,""Thank you, he answered gratefully.""",1.5,2,2,0
"298","297,They walked back to the road.",0,0,0,0
"299","298,""Dorothy helped him over the fence, and they started along the path of yellow brick for the Emerald City.""",0.8,1,0,0
"300","299,Toto did not like this addition to the party at first.",0.5,1,2,0
"301","300,""He smelled around the stuffed man as if he suspected there might be a nest of rats in the straw, and he often growled in an unfriendly way at the Scarecrow.""",-1.35,-2,-1,-1
"302","301,""Dont mind Toto, said Dorothy to her new friend.""",1.6,0,1,1
"303","302,He never bites.",0,0,0,0
